Attempt Regex,DeepSeek Output
a(a*)b,"positive example:[ab, aaab],negative example:[bb, , a, abbabbaa, aaabb, abbb, abaa, abab, ba]"
abba,"positive example:[abba],negative example:[aaa, , abb, bb, ab, a, aab, abaaa, abbba, ababb, abbbb, abbaaa, abbabb, ba]"
(0|1)*0101(0|1),"positive example:[01101011001011, 01010001011, 01100010111101011, 0110101011, 11011101011, 01101001011, 0110101101011, 0101001011, 0101011, 01101011101011, 0101010, 011010001011],negative example:[010101, 0101101101, 01000, 1100010110111, 01001, 0101010010, 0101011010, 0101100, 0101111, 0101001, 0101110, 0101000]"
(bb)+,"positive example:[bbbb],negative example:[bba, , ab, bbbbb, bbba, bab, bbb, baa, aaabba, bbaa, bbab]"
0*|1(1)0*,"positive example:[00, , 1100],negative example:[01, 111, 100, 1, 101, 1101, 000110011, 010]"
a(a*)b,"positive example:[ab, aaab],negative example:[, babaa, a, bbb, aaabb, abbb, abaa, abba, abab]"
(a+a(b+aa)*b)*a(b+aa)*a,"positive example:[aabbaabaaababbbaabbaaa, aabbaabaaababaaa, abaaa, aabbaabaaababaabaaa, aabaa, aabbaabbbbaabaa, aabbaabaaabbaabaa, aabbaabaaaaabaa],negative example:[bb, , abaababaaba, aba, aabbaabab, abbbaabb, abaaaba, aabba, aabbaabaaaaaba, aabbaabaaaaa, aabbaa, aabbaabaaabbabb, aabbaabaaabbbbaba, aaba, abaababbb, aabbaabaaab, abbbaa, abaaaab, aabbaaab, abaaaaa, abaaabb, aabbaaaa, aabbaabb, ba]"
(b|a)*(baa)+(a|b)*b+,"positive example:[babaab, baaab, baababbbaaab, aabbbabaab, babbaab],negative example:[bb, baba, aa, bbaaa, aababbaabaabbbaba]"
(0(0|1)*1)|(1(1|0)*0),"positive example:[011101, 110, 000101, 1010001110, 01001],negative example:[00, 11, , 101000111, 0100111010]"
a*b(a*ba*b)*a,"positive example:[babba, baabba, bbba, bababa, bbaba, aabbba, baaaababa],negative example:[baabb, baba, bba, babb, baaba, bbb, baa, aabb, baaaab]"
0*,"positive example:[00, ],negative example:[111, 0010100]"
(a*b)*a,"positive example:[aba, aaba, bbaba, aabba, aaaaba, abba],negative example:[abb, aab, aabaa, aaaabb, abaa, bbab]"
((0|01)(1|10)),"positive example:[011, 01, 0110, 010],negative example:[, 01111, 011010, 000, 0, 100, 001, 011000, 011011, 011001, 01110, 0101, 0100, 11101]"
((0|1)(0|1))+((0|1)(0|1)(0|1)),"positive example:[1111111, 0000000],negative example:[000, 00, 0, , 11, 11111111, 111, 1, 000000, 111111, 00000000]"
(0*10*10*10*10*)*,"positive example:[, 010111, 1111, 10111, 011001001001111100111, 0001111],negative example:[11, 000, 01, 100100100100111, 00011, 100100100100111110, 010]"
(1|0)(001|1010|110)*,"positive example:[11100011010110, 01100011010110, 0110001001, 0001, 1001, 1110001001],negative example:[011000110101, 00, , 01100000, 01100001, 11100001, 111111, 1110011, 1110010, 11110010, 01100011011, 011, 111, 011000, 11100011011, 011000110, 111000110101, 111000110, 111000, 01100010, 11100010, 10, 0110011, 01100011001, 01100011000, 01110010, 11100011001, 11100011000, 011111, 11100000, 0110010]"
a*b(a*ba*b)*b,"positive example:[bababb, bbabb, bbbabbb, aababbbbb, bbaabb, baaabbb, bbbb],negative example:[baba, bba, babb, baaab, bbbbb, bbba, aabbb, bbaa, bbab]"
abb*,"positive example:[abbb],negative example:[bb, , a, abbba, aabbab, abaa, aaaa, abab, ba]"
a*b(a|(ba*b))b,"positive example:[aabab, bbaabb, bbbb], negative example:[aa, bbbaa, babb, bbbbba, bbb, baa, aab, aabbaababaabb, aabbaa, bbbbab, bbbbaa, bbbbbb]"
(a)*(baa)*((a)*(baa)*)*,"positive example:[, baaa, aabaabaa],negative example:[aababbbaab, baba, baabba, baaaba, aab, baabbb]"
a+|b*a*,"positive example:[bb, , bbaaa, a+|b*a*],negative example:[aba, ab, bbaaabbaabb]"
(0*(10*1)*0*10*(10*1)*1),"positive example:[110001101111, 1111, 1101111011, 11011, 1101100011, 1101111, 1101001, 00100111],negative example:[00, 1101110, 110001, 1110, 0010011, 110, 110110111, 110110001, 110110101, 11111, 1101101000110, 11011111, 11010011, 11011110]"
