Attempt Regex,DeepSeek Output
(bb|a)*,"positive example: [bb, a, bba, abba, aaa, bbbbbb, ababab], negative example: [b, ba, aba, baa, baba, abab, bbbbaba]"
[b]{1}([b]{2})*,"positive example:[b, bbb, bbbbb], negative example:[bb, bbbb, bbbbbb]"
(aa+)*b*,"positive example: [b, aab, aaaaab, aabbb, aaaab], negative example: [a, aba, aabba, bbaa, abab]"
(0*10*10*)(0*10*10*),"positive example: [""1010"", ""0101"", ""10011001"", ""00110011"", ""10101010""],  
negative example: [""100"", ""010"", ""1100"", ""0011"", ""1010101""]"
((a|b)(a*b)a)*((a|b)(a*b)),"positive example: [abaaab, baaab, abaabab, aabab, bbaab], negative example: [aaa, bbb, aba, abab, baba]"
(a|b)+(a|b)+(ab*)+a+a+a,"positive example: [ ""aababaaa"", ""bbababaaa"", ""abababaaa"", ""baababaaa"" ], negative example: [ ""abab"", ""baab"", ""aabba"", ""bbaa"" ]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010],  
negative example: [11, 110, 101, 1001, 1010, 1100, 1111, 0000, 0011, 0110, 10001, 10100, 11000, 11110, 00000, 00101, 01010, 01100, 100001, 101000, 110000, 111100, 000000, 001001, 010010, 011000, 1000000, 1010000, 1100000, 1111000]"
(a|bb)*a*b,"positive example: [aab, bba, bbab, aaaaab, bbbba], negative example: [abab, bbaa, aabb, b, aaabba]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000, 1001001, 1001010, 1001111, 1001100],  
negative example: [11, 101, 110, 1001, 1010, 1100, 1111, 0000, 00000, 000000, 00101, 01010, 01100, 10001, 10100, 11000, 11101, 11110, 000011, 000101, 001001, 010001, 011000, 100001, 101000, 110000, 111001, 111100, 0000001, 0000010, 0000101, 0001000, 0010001, 0100000, 0110000, 1000000, 1010000, 1100000, 1110000]"
(a+(bb))*a*(a+(bb))*,"positive example: [a, bb, aaa, bba, abba, aabba, bbaa, aabbbba], negative example: [b, aba, abab, baba, abbba, bbbb, ababab]"
((aa|bb|ab|ba)+aaa),"positive example: [aaa, aaaaa, bbaaa, abaaaa, baaaaa], negative example: [aa, bb, ab, ba, aab, bba, aba, baa]"
(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"positive example: [""11"", ""0"", ""0011"", ""1100"", ""101"", ""1001"", ""10001""], negative example: [""1"", ""01"", ""10"", ""1010"", ""1101"", ""0010"", ""0001""]"
((a|b)(a|b))+(aaa)+,"positive example: [abaaaa, bbaaaaaa, aabaaaaa], negative example: [abaa, bbaa, aabaa]"
(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example: [a, aa, b, bbb, ab, aab, abbb, aabbb, aabbbbb, abbbabbb],  
negative example: [aba, aaba, abab, aabab, bbba, bbbab, abbba, aabbba, abbbba, abbbabba]"
(0*(11)*0*0*)*,"positive example: ["""", ""0"", ""00"", ""11"", ""0110"", ""001100"", ""110011"", ""0000110000"", ""0011001100""],  
negative example: [""1"", ""01"", ""10"", ""101"", ""011"", ""1101"", ""001101"", ""011010"", ""00110011""]"
(baa)(baa)*(b),"positive example: [baab, baaabaab, baaab], negative example: [ba, baaa, baaabaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000],  
negative example: [0, 11, 110, 101, 1001, 1010, 1100, 000, 011, 0011, 0110, 0000, 1111, 11110, 10100, 10001, 11000, 11101, 00000, 00101, 01100, 01001, 01010, 10010, 10111, 11011, 11110, 00011, 00110, 01111]"
0*|1|1+(0|1)+1|0+(0|1)0+,"positive example: [""0"", ""1"", ""10"", ""01"", ""100"", ""011"", ""000"", ""111"", ""1010"", ""0101""],  
negative example: ["""", ""2"", ""00a"", ""11b"", ""0012"", ""110a"", ""a01"", ""b10"", ""abc"", ""123""]"
(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example: [ ""aabbb"", ""bbba"", ""abba"", ""aabba"", ""bbbb"" ],  
negative example: [ ""aba"", ""baa"", ""aab"", ""baba"", ""abab"" ]"
(0|1)(0|1),"positive example: [00, 01, 10, 11], negative example: [0, 1, 000, 111, 010, 101]"
(b*(aaa*)b*)*,"positive example: [""b"", ""aaa"", ""baaab"", ""bbaaaabbb"", ""baaaabaaaab""], negative example: [""a"", ""ab"", ""ba"", ""aab"", ""bbab""]"
(ab)*(ba)*|(ba)*(ab)*,"positive example: [ab, ba, abba, baab, ababab, bababa], negative example: [a, b, aba, babaab, ababba, baa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 10001, 10100, 11000, 11110, 00000, 00101, 01010, 01100, 100010, 101000, 110011, 111111, 00011, 00110, 01001, 01111, 100001, 101011, 110111, 111101, 000001, 001010, 010101, 011011, 1000001]"
"a?ba{2,}","positive example: [baa, abaa, baaa], negative example: [a, ba, aba, baaaaa]"
a*b*baaa*bb*(a*bb*)*,"positive example: [abbaaab, aabbbaaab, baaaabbb, aaabbbaaaab, bbaaaabbb],  
negative example: [abab, aababba, baaabab, aabbaab, abbaabbb]"
[ab][ab][ab][ab]*aaa,"positive example: [aaaaaa, abbaaaa, bbaaaaa, ababaaa], negative example: [aaa, aabaa, bbbaa, ababab]"
1(1|0)*1|0(1|0)*0,"positive example: [11, 1001, 010, 1010, 11011], negative example: [0, 1, 00, 01, 10]"
(0*10*1)*|0*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""100"", ""0101"", ""1010"", ""001001"", ""000""], negative example: [""2"", ""11"", ""101"", ""0110"", ""110"", ""0011"", ""111"", ""010""]"
0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example: [0, 1, 00, 11, 010, 101, 00110, 11001], negative example: [01, 10, 001, 110, 0101, 1010, 0011, 1100]"
(b(aa)+a*)*,"positive example: [baa, baaaaa, baaa, baaaa, baaaaaaa], negative example: [b, a, baba, baaab, aaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010],  
negative example: [11, 110, 101, 1001, 1100, 000, 1010, 011, 1111, 111111, 10000, 1100, 0000, 0101]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001],  
negative example: [0, 11, 101, 1100, 1001, 11000, 1111, 0000, 1010, 11011, 10010, 10100, 11110, 00011, 00101, 01010, 01100, 10001, 10111, 11000, 11101, 00000, 00110, 01001, 01111, 10010, 10110, 11011, 11111, 00001, 00101, 01010, 01100, 10001, 10111, 11000, 11101, 00000, 00110, 01001, 01111, 10010, 10110, 11011, 11111]"
(b|a)(baa)+b,"positive example: [abaaab, bbaaab, abaaabaaab], negative example: [ab, ba, bba, abaa, bbaa, abab, bbab]"
0(0|0)*0,"positive example:[000,0000,00000],negative example:[0,00,000000]"
(aa|ab|bb|ab)(a*|b*)aaaa*,"positive example: [aaaabaaaa, abbaaaaa, bbaaaaa, aaaaaa], negative example: [aab, bbaa, abab, bbbb]"
(01)*0,"positive example: [0, 010, 01010, 0101010], negative example: [1, 011, 0101, 010101]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011], negative example: [11, 110, 101, 1000, 0001, 0110, 1010, 1111, 11110, 10101]"
(0(1*0*)*0)|(1(1*0*)*1),"positive example: [00, 11, 010, 101, 0110, 1001, 01010, 10101], negative example: [0, 1, 01, 10, 001, 110, 0101, 1010]"
a*b(a*(ba*b)*(bb)a*)*,"positive example: [""aba"", ""abba"", ""aabbba"", ""ababba"", ""aababbba""],  
negative example: [""ab"", ""ba"", ""aab"", ""bba"", ""abab""]"
0*(10*1)*,"positive example: [0, 010, 1010, 010101, 00010101], negative example: [1, 11, 0101, 1001, 101010]"
(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example: ["""", ""0"", ""11"", ""0011"", ""101"", ""000111"", ""10101"", ""00110011""], negative example: [""1"", ""01"", ""110"", ""100"", ""1110"", ""1010"", ""00110"", ""11011""]"
a*|a*baa+,"positive example: [""a"", ""aa"", ""aaa"", ""baa"", ""baaa"", ""baaaa""], negative example: [""b"", ""ab"", ""aab"", ""aba"", ""aaba"", ""ba""]"
(baaa*)*,"positive example: [ba, baaa, baaaaa, baba, baaabaaa], negative example: [a, b, aa, ab, babaab]"
(1(0|1)*1)|(0(0|1)*0)?,"positive example: [11, 101, 1001, 010, 0010, 0000], negative example: [0, 1, 01, 10, 001, 110]"
0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example: [""0110110"", ""0110"", ""0110110110"", ""0110110110110""], negative example: [""0"", ""1"", ""011"", ""011011""]"
10*(10*10*)*,"positive example: [10, 1010, 101010, 10010, 1001010], negative example: [1, 0, 110, 101, 1001]"
(ab){2}(ab)*aaaa*,"positive example: [ababaaaa, abababaaaaa, ababababaaaaaa], negative example: [abaaaa, abababa, abababaaa]"
(a*)(bb)*(b),"positive example: [aabbb, aabb, bb, b, aaaabbb], negative example: [ab, aab, bbb, aabbbbb, a]"
((a|b)a*b(a(a|b)a*b)*a)?,"positive example: [aba, aaba, baba, aababa, ababaa], negative example: [aa, bb, ab, ba, aab, bba]"
(a|b)a*b,"positive example:[aab, ab, bab, baab, bbb], negative example:[aa, bb, aba, bba, aaaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"positive example: [1, 111, 11111, 10, 1110, 01, 100], negative example: [0, 11, 101, 110, 1000, 1010, 1100]"
(0|1)(0|1),"positive example: [00, 01, 10, 11], negative example: [0, 1, 000, 111, 0101]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011],  
negative example: [11, 110, 101, 1001, 1100, 000, 1010, 10010, 11011, 11110, 0000, 0011, 0110, 0101, 10100, 101101, 100010, 110000, 111010, 00000, 00110, 01100, 01010, 101000, 101011, 100001, 110101, 111001, 000000, 00101, 01111, 01001]"
a*((b)(aa))*,"positive example: [""a"", ""aa"", ""baa"", ""aaaabaa"", ""baabaa""], negative example: [""b"", ""ab"", ""aab"", ""ba"", ""baaaa""]"
(0*1(11)*0*),"positive example: [01, 0110, 01110, 1110, 011110], negative example: [0, 1, 00, 11, 010]"
(b|a)*baab*(b|a)b,"positive example: [baabab, aabaab, bbaabab, aabaaba], negative example: [baa, baba, abab, aabaa]"
(01*0)*|(10*1)*,"positive example: [010, 1001, 010010, 10101, 1010101], negative example: [0110, 10001, 01010, 10110, 010110]"
(0+(1*0)*0*)|(1+(0*1)*1*),"positive example: [0, 1, 00, 11, 010, 101, 0000, 1111, 01010, 10101],  
negative example: [2, 3, 01a, 10b, 012, 120, 0012, 110a, 01012, 10101a]"
a*(bb)*b,"positive example: [""ab"", ""aab"", ""bb"", ""abbb"", ""aabbb""], negative example: [""ba"", ""aba"", ""bbb"", ""aabb"", ""b""]"
0*|(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example: [""0"", ""00"", ""11"", ""1111"", ""101"", ""1001"", ""110011"", ""0011"", ""00001111""], negative example: [""1"", ""01"", ""10"", ""0110"", ""1110"", ""1010"", ""00101"", ""1100"", ""0001""]"
(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*,"positive example: [11, 0, 00, 1111, 000, 101, 1010, 101010, 110, 0011, 1100, 1001], negative example: [1, 01, 10, 100, 011, 1110, 1101, 1011, 0101, 0010, 1000, 0110]"
((a|b)(a|b))aaa,"positive example: [baaaa, aaaaa, bbaaa], negative example: [aaa, baa, abaa]"
(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*,"positive example: [""a"", ""bb"", ""bbb"", ""abbb"", ""bbbb"", ""aabbb"", ""bbba"", ""bbbbba"", ""aa"", ""bbbbb""],  
negative example: [""b"", ""ba"", ""bab"", ""bbab"", ""bbabbb"", ""abab"", ""baba"", ""bbabab"", ""abba"", ""bbabba""]"
(a*((bb)*|(bbb)*)*a*)a*,"positive example: [""aa"", ""abba"", ""abbba"", ""abbbba"", ""aabbaa"", ""aabbbbaa"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb"", ""bbbbbb""],  
negative example: [""ab"", ""ba"", ""aba"", ""bab"", ""abab"", ""baba"", ""aab"", ""bba"", ""aaab"", ""bbba""]"
a+b(a+b)*bab(a+b)*,"positive example: [abab, aabab, ababab, aababab, abababab], negative example: [a, b, aa, bb, aba, bab, abba, baab]"
(a*(bb+bbb)*a*)*a*,"positive example: [""a"", ""aa"", ""abba"", ""abbba"", ""aabbaa"", ""aabbbaa"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb"", ""abbbba"", ""aabbbbaa""],  
negative example: [""b"", ""ba"", ""bab"", ""baba"", ""abab"", ""ababa"", ""ababab"", ""bbab"", ""bbba"", ""bbaba"", ""bbabba"", ""bbabbba""]"
((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?,"positive example: [""0"", ""1"", ""0001"", ""1110"", ""010"", ""1001"", ""000"", ""111""], negative example: [""2"", ""01a"", ""b1"", ""1012"", ""00a1"", ""1b0""]"
(a*bb*ba*)*,"positive example: [ ""abba"", ""aabbaa"", ""bb"", ""abbbba"", ""aaabbbaa"" ], negative example: [ ""a"", ""b"", ""aba"", ""baab"", ""abab"" ]"
((0(0|1)*0)|(1(0|1)*1))?,"positive example: [00, 11, 010, 101, 0000, 1111, 0110, 1001], negative example: [0, 1, 01, 10, 001, 110, 0001, 1110]"
(a?bba?),"positive example: [""bba"", ""abba"", ""bba"", ""aabba"", ""bbaa""],  
negative example: [""bb"", ""aba"", ""abab"", ""ba"", ""aab""]"
(b(aa+))*,"positive example: [baa, baaaa, baaaabaa, baaaaaa, baaabaaaa], negative example: [ba, b, aaa, a, baaaab]"
(0(0*1+0+)*|1(1*0+1+)*)?,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0001"", ""1110"", ""0010"", ""1101"", ""00011"", ""11100""],  
negative example: ["""", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0000"", ""1111"", ""0101""]"
(a|b)(a|b)a*b*aaa,"positive example: [aaabbbaaa, bbaaabaaa, aabbbaaa, baaabaaa], negative example: [aaa, bbb, aabbaa, bbaaa]"
(a*b*|b*a*)*(baa)a*b+,"positive example: [baaaab, aabbaaaab, bbaaaab, baaaab, aabbaaaabbb],  
negative example: [baa, baaa, baaab, aabbaa, bbaa]"
(b*aa+|aa+b*|b*),"positive example: [""b"", ""aa"", ""baa"", ""aab"", ""bbaa"", ""aabb"", ""bbb"", ""aaaa""],  
negative example: [""a"", ""aba"", ""abab"", ""baab"", ""bbaba"", ""aaba""]"
"(a)*ba{2,}(a)*ba{2,}|a*","positive example: [baaba, aabaabaa, aabaa, baaaa, aabaaaa], negative example: [ab, baa, aab, a, baaaab]"
(0?)((1+)(0|01))*,"positive example:[""0"", ""10"", ""110"", ""010"", ""1110"", ""1010"", ""11010"", ""0110""],  
negative example:["""", ""1"", ""01"", ""001"", ""100"", ""101"", ""111"", ""0101""]"
[ab][ab]aaa,"positive example: [abaaaa, bbaaaa, aabaaa], negative example: [aaa, abaa, bbaa, aabaa]"
(((01*)*(010)(1*0)*)|((10*)*(101)(0*1)*)|0+|1+)?,"positive example: [""0"", ""1"", ""010"", ""101"", ""0010"", ""1101"", ""000"", ""111"", ""01010"", ""10101""],  
negative example: [""2"", ""0110"", ""1001"", ""0011"", ""1100"", ""012"", ""120"", ""0102"", ""1012"", ""01a""]"
(aaa+aba)(a+b)*,"positive example: [aaaa, aaaba, aaaab, abaab, aabaa], negative example: [ab, ba, aab, baa, baba]"
(11*0*11*)*|(00*1*00*)*,"positive example: [""11"", ""0011"", ""110011"", ""000111"", ""11110000"", ""1100"", ""001100"", ""111000111""],  
negative example: [""101"", ""010"", ""1101"", ""00101"", ""1010"", ""111010"", ""00010111""]"
(ba)*(ab)*(ba)*(ab)*,"positive example: [baab, bababa, baabbaab, baba, abab], negative example: [a, b, aba, baa, abba]"
a*bab*aaa*(b|a)*b,"positive example: [ ""babaaaab"", ""aababaaaaaab"", ""babaaaaab"", ""aababaaab"", ""babaaab"" ], negative example: [ ""ba"", ""aab"", ""babaa"", ""aababa"", ""baaa"" ]"
((1(0|1)*1)|(0(0|1)*0))?,"positive example: [11, 00, 101, 010, 1101, 0010, 1001, 0110], negative example: [0, 1, 10, 01, 1010, 0101, 111, 000]"
(0|1)|(01*),"positive example: [0, 1, 01, 011, 0111], negative example: [00, 10, 001, 111, 010]"
(a|b)(a+|b+)(aaa+),"positive example: [aaaabaaaa, baaaaaaa, abbaaaa], negative example: [aaab, bba, aabbaa]"
(0+1+)(0|1)*(1+0+),"positive example: [010, 1110, 10110, 01100, 11010], negative example: [0, 1, 00, 11, 0101]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110],  
negative example: [11, 110, 101, 1001, 1010, 1100, 0000, 0011, 0110, 10001, 10100, 11000, 11101, 00000, 00101, 01001, 01100, 10010, 10111, 11011, 11110, 00011, 00110, 01010, 01111, 10001, 10101, 11000, 11101]"
