Regex,Attempt Regex,DeepSeek Output
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"positive example: [aaba, aabaa, aabba, aabaaa, aababa], negative example: [abba, aab, aaa, abab, baba]"
001|1010|110,(1|0)(001|10101|110)*,"positive example: [1001, 010101, 1110, 000110110, 11010101], negative example: [001, 10101, 110, 100, 0110]"
001|1010|110,(0|1)*0101(0|1)*,"positive example: [0101, 001010, 1010110, 00010100, 1010101], negative example: [010, 1010, 00100, 1111, 0000]"
a+b,(a*)ba,"positive example: [ba, aba, aaba], negative example: [b, aa, ab]"
(a*ba*b)*a*ba*,(a)*b(a)*b,"positive example: [abab, aabaaab, babb], negative example: [aa, bbb, aba]"
0+1*,1,"positive example: [abc, aab, bca, aaabbbccc], negative example: [abcd, a1b, b@c, aaabbbcccd]"
(0*10*10*)*|0*,0*10*11,"positive example:[""011"", ""0011"", ""01011"", ""0001011""],  
negative example:[""0"", ""1"", ""00"", ""10"", ""110"", ""1010"", ""00101""]"
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,"positive example: [""-1"", ""-1-1"", ""-1-1-1""], negative example: [""1"", ""--1"", ""-1a"", ""1-1""]"
001|1010|110,[001]|[10101]|[110],"positive example: [001, 10101, 110, 0, 1, 01, 10, 11, 101, 1001], negative example: [000, 111, 010, 100, 1011, 1100, 1010, 0110, 0011, 10001]"
001|1010|110,11010110,"positive example:[11010110], negative example:[1101011, 1010110, 11011011]"
0*10*(10*10*)*,0*(10*1),"positive example: [011, 0101, 00101, 101, 000101], negative example: [0, 1, 00, 010, 100]"
a+b,ba+,"positive example:[ba, baa, baaa], negative example:[b, a, ab]"
(a|b)*baa(a|b)*b,a(a*)b,"positive example: [ab, aab, aaab], negative example: [b, a, aaa]"
a(a|b)a(a|b)*,abba,"positive example: [abba, aabbaa, abbaabba], negative example: [aba, baba, aabb]"
001|1010|110,(0|1)*0101(0|1),"positive example: [01010, 101010, 001011, 01011, 101011], negative example: [0100, 10100, 00100, 1100, 0001]"
(a*ba*b)*a*ba*,(bb)+,"positive example:[bb, bbbb, bbbbbb], negative example:[b, bbb, bbbbb]"
0*10*(10*10*)*,0*|1(1)0*,"positive example: ["""", ""0"", ""00"", ""1"", ""10"", ""100"", ""110"", ""1110""], negative example: [""01"", ""011"", ""101"", ""001"", ""111""]"
b*a*,a(a*)b,"positive example: [ab, aab, aaab, aaaaab], negative example: [b, a, aa, aaaa, ba, aba, aaba]"
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"positive example: [aa, aba, aabaa, aababaa, aabaaaabaa], negative example: [a, b, ab, ba, aab, aaba, aabab, aabaaa]"
b*a*,(b|a)*(baa)+(a|b)*b+,"positive example: [baaab, baaabab, abaaabb, baaabbaaab], negative example: [a, b, ab, ba, baaa, baa, baab, bbaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"positive example: [01, 001, 110, 1001, 1110], negative example: [0, 1, 00, 11, 010]"
(a|baa)*,a*b(a*ba*b)*a,"positive example: [""aba"", ""ababa"", ""aabaa"", ""aaabaaa"", ""ba""],  
negative example: [""ab"", ""baa"", ""aab"", ""bb"", ""abab""]"
0*10*(10*10*)*,0*,"positive example: ["""", ""0"", ""00"", ""000""], negative example: [""1"", ""01"", ""10"", ""001""]"
a+b,(a*b)*a,"positive example: [aa, aaba, bbaa, a, baa], negative example: [ab, b, aba, aab, baab]"
001|1010|110,((0|01)(1|10)),"positive example:[011, 0110, 0101], negative example:[0, 01, 1, 10, 001, 010]"
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"positive example: [01011, 11001, 101010], negative example: [01, 110, 1010]"
0*10*(10*10*)*,(0*10*10*10*10*)*,"positive example: [""10101010"", ""0001000100010001"", ""0101010101010101"", ""00001000010000100001"", ""1000001000001000001""], negative example: [""0"", ""1"", ""01"", ""10"", ""001100"", ""110011"", ""00001111"", ""11110000"", ""0101010"", ""1010101""]"
001|1010|110,(1|0)(001|1010|110)*,"positive example: [1001, 01010, 1110, 000110, 1101010, 1010110], negative example: [11, 000, 101, 1101, 00101, 1010101]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,"positive example: [ab, aab, abab, aabab, aaaababab], negative example: [b, aa, aba, aaba, abba]"
(a|baa)*,abb*,"positive example: [ab, abb, abbb, abbbb], negative example: [a, b, bb, bbb, abab, abba]"
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,"positive example: [abab, aabab, babb, aaababb, bbab], negative example: [a, b, aba, baba, aabba]"
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,"positive example: [""a"", ""baa"", ""abaa"", ""aabaa"", ""baabaa"", ""aabaabaa"", ""aaa"", ""baabaaa""],  
negative example: [""b"", ""ba"", ""aba"", ""aab"", ""baaba"", ""baaabaa"", ""ab"", ""baaab""]"
(a|b)*baa(a|b)*b,a+|b*a*,"positive example: [""a"", ""aa"", ""aaa"", ""b"", ""ba"", ""bba"", ""aab"", ""bbaa""], negative example: [""ab"", ""aba"", ""baba"", ""aaba"", ""baab""]"
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"positive example: [""011"", ""0101"", ""001001"", ""010101"", ""0100101""], negative example: [""0"", ""1"", ""00"", ""11"", ""010""]"
