Short Description,regex,Attempt Regex,ChatGPT Output
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa+)b+,"positive example: [aabbaab, bbaab, aaaabbaaab, bbaaab, aabbaaab], negative example: [aabab, baab, aabba, bbaa, aabbaa]"
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"positive example: [""bb"", ""aab"", ""aaabbb"", ""abab"", ""aabb"", ""bbbb"", ""aaab"", ""aabbb""],  
negative example: [""a"", ""ba"", ""aba"", ""bab"", ""abba"", ""baa"", ""ababab"", ""baba""]"
An even number of 1's,(0|10*1)*,(0*|101)+,"positive example: [""0"", ""101"", ""00"", ""0101"", ""000101""], negative example: [""1"", ""10"", ""011"", ""100"", ""1010""]"
even number of 1's,(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"positive example: [0101101010, 1011010101, 0010110100], negative example: [010101010, 110101010, 001010100]"
Every b followed by two or more a's,(a|baa)*,(b?aaa*)*,"positive example: [aaa, baaaa, baaaaaaa, aaaaa, baa],  
negative example: [ba, bb, bba, ab, aab]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"positive example: [ab, aab, b, bab, bba, aabba, bbb, baaab], negative example: [aa, aba, baba, a, bbaba, abab, aaa, bbbba]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"positive example: [ba, aabba, bbb, aab, baa], negative example: [abba, a, baba, aabb, bbaa]"
first and third,a(a|b)a(a|b)*,a(a|b)a(a*|b*),"positive example: [aaaa, aaba, aabaa, aabbb, abaa], negative example: [aaa, aba, aab, abba, baaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"positive example: [""1"", ""0"", ""11"", ""000"", ""101"", ""010"", ""10101"", ""01010"", ""1010101"", ""0101010""],  
negative example: ["""", ""01"", ""10"", ""0011"", ""1100"", ""1010"", ""0101"", ""1001"", ""0110"", ""101010""]"
An even number of 1's,(0|10*1)*,0*|(10*1)*|0*,"positive example: ["""", ""0"", ""00"", ""101"", ""1001"", ""010101"", ""000"", ""10101""], negative example: [""1"", ""01"", ""001"", ""110"", ""0110"", ""1010"", ""111"", ""01010""]"
Odd number of b's,(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"positive example: [""abba"", ""aabba"", ""bbaabba"", ""aabbbba"", ""bbabba""], negative example: [""aba"", ""bbab"", ""aabab"", ""baab"", ""bbbba""]"
non isolated 'b',(a|(b*bb))*,(bb|a)*,"positive example: [bb, a, bba, abba, aaa, bbbbbb, ababab], negative example: [b, ba, aba, baa, baba, abab, bbbbaba]"
Odd number of b's,(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"positive example:[b, bbb, bbbbb], negative example:[bb, bbbb, bbbbbb]"
non isolated 'a',(b|(a*aa))*,(aa+)*b*,"positive example: [b, aab, aaaaab, aabbb, aaaab], negative example: [a, aba, aabba, bbaa, abab]"
even number of 1's,(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"positive example: [""1010"", ""0101"", ""10011001"", ""00110011"", ""10101010""],  
negative example: [""100"", ""010"", ""1100"", ""0011"", ""1010101""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"positive example: [abaaab, baaab, abaabab, aabab, bbaab], negative example: [aaa, bbb, aba, abab, baba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"positive example: [ ""aababaaa"", ""bbababaaa"", ""abababaaa"", ""baababaaa"" ], negative example: [ ""abab"", ""baab"", ""aabba"", ""bbaa"" ]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010],  
negative example: [11, 110, 101, 1001, 1010, 1100, 1111, 0000, 0011, 0110, 10001, 10100, 11000, 11110, 00000, 00101, 01010, 01100, 100001, 101000, 110000, 111100, 000000, 001001, 010010, 011000, 1000000, 1010000, 1100000, 1111000]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*a*b,"positive example: [aab, bba, bbab, aaaaab, bbbba], negative example: [abab, bbaa, aabb, b, aaabba]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000, 1001001, 1001010, 1001111, 1001100],  
negative example: [11, 101, 110, 1001, 1010, 1100, 1111, 0000, 00000, 000000, 00101, 01010, 01100, 10001, 10100, 11000, 11101, 11110, 000011, 000101, 001001, 010001, 011000, 100001, 101000, 110000, 111001, 111100, 0000001, 0000010, 0000101, 0001000, 0010001, 0100000, 0110000, 1000000, 1010000, 1100000, 1110000]"
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,"positive example: [a, bb, aaa, bba, abba, aabba, bbaa, aabbbba], negative example: [b, aba, abab, baba, abbba, bbbb, ababab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"positive example: [aaa, aaaaa, bbaaa, abaaaa, baaaaa], negative example: [aa, bb, ab, ba, aab, bba, aba, baa]"
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"positive example: [""11"", ""0"", ""0011"", ""1100"", ""101"", ""1001"", ""10001""], negative example: [""1"", ""01"", ""10"", ""1010"", ""1101"", ""0010"", ""0001""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+,"positive example: [abaaaa, bbaaaaaa, aabaaaaa], negative example: [abaa, bbaa, aabaa]"
non isolated 'b',(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example: [a, aa, b, bbb, ab, aab, abbb, aabbb, aabbbbb, abbbabbb],  
negative example: [aba, aaba, abab, aabab, bbba, bbbab, abbba, aabbba, abbbba, abbbabba]"
even number of 1's,(0*10*10*)*|0*,(0*(11)*0*0*)*,"positive example: ["""", ""0"", ""00"", ""11"", ""0110"", ""001100"", ""110011"", ""0000110000"", ""0011001100""],  
negative example: [""1"", ""01"", ""10"", ""101"", ""011"", ""1101"", ""001101"", ""011010"", ""00110011""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)(baa)*(b),"positive example: [baab, baaabaab, baaab], negative example: [ba, baaa, baaabaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000],  
negative example: [0, 11, 110, 101, 1001, 1010, 1100, 000, 011, 0011, 0110, 0000, 1111, 11110, 10100, 10001, 11000, 11101, 00000, 00101, 01100, 01001, 01010, 10010, 10111, 11011, 11110, 00011, 00110, 01111]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1|1+(0|1)+1|0+(0|1)0+,"positive example: [""0"", ""1"", ""10"", ""01"", ""100"", ""011"", ""000"", ""111"", ""1010"", ""0101""],  
negative example: ["""", ""2"", ""00a"", ""11b"", ""0012"", ""110a"", ""a01"", ""b10"", ""abc"", ""123""]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example: [ ""aabbb"", ""bbba"", ""abba"", ""aabba"", ""bbbb"" ],  
negative example: [ ""aba"", ""baa"", ""aab"", ""baba"", ""abab"" ]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1),"positive example: [00, 01, 10, 11], negative example: [0, 1, 000, 111, 010, 101]"
non isolated 'a',(b|(a*aa))*,(b*(aaa*)b*)*,"positive example: [""b"", ""aaa"", ""baaab"", ""bbaaaabbb"", ""baaaabaaaab""], negative example: [""a"", ""ab"", ""ba"", ""aab"", ""bbab""]"
even prefix,(ab|ba)*,(ab)*(ba)*|(ba)*(ab)*,"positive example: [ab, ba, abba, baab, ababab, bababa], negative example: [a, b, aba, babaab, ababba, baa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 10001, 10100, 11000, 11110, 00000, 00101, 01010, 01100, 100010, 101000, 110011, 111111, 00011, 00110, 01001, 01111, 100001, 101011, 110111, 111101, 000001, 001010, 010101, 011011, 1000001]"
Every b followed by two or more a's,(a|baa)*,"a?ba{2,}","positive example: [baa, abaa, baaa], negative example: [a, ba, aba, baaaaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*bb*(a*bb*)*,"positive example: [abbaaab, aabbbaaab, baaaabbb, aaabbbaaaab, bbaaaabbb],  
negative example: [abab, aababba, baaabab, aabbaab, abbaabbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab][ab][ab]*aaa,"positive example: [aaaaaa, abbaaaa, bbaaaaa, ababaaa], negative example: [aaa, aabaa, bbbaa, ababab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(1|0)*1|0(1|0)*0,"positive example: [11, 1001, 010, 1010, 11011], negative example: [0, 1, 00, 01, 10]"
An even number of 1's,(0|10*1)*,(0*10*1)*|0*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""100"", ""0101"", ""1010"", ""001001"", ""000""], negative example: [""2"", ""11"", ""101"", ""0110"", ""110"", ""0011"", ""111"", ""010""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example: [0, 1, 00, 11, 010, 101, 00110, 11001], negative example: [01, 10, 001, 110, 0101, 1010, 0011, 1100]"
Every b followed by two or more a's,(a|baa)*,(b(aa)+a*)*,"positive example: [baa, baaaaa, baaa, baaaa, baaaaaaa], negative example: [b, a, baba, baaab, aaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010],  
negative example: [11, 110, 101, 1001, 1100, 000, 1010, 011, 1111, 111111, 10000, 1100, 0000, 0101]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001],  
negative example: [0, 11, 101, 1100, 1001, 11000, 1111, 0000, 1010, 11011, 10010, 10100, 11110, 00011, 00101, 01010, 01100, 10001, 10111, 11000, 11101, 00000, 00110, 01001, 01111, 10010, 10110, 11011, 11111, 00001, 00101, 01010, 01100, 10001, 10111, 11000, 11101, 00000, 00110, 01001, 01111, 10010, 10110, 11011, 11111]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)(baa)+b,"positive example: [abaaab, bbaaab, abaaabaaab], negative example: [ab, ba, bba, abaa, bbaa, abab, bbab]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|0)*0,"positive example:[000,0000,00000],negative example:[0,00,000000]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*,"positive example: [aaaabaaaa, abbaaaaa, bbaaaaa, aaaaaa], negative example: [aab, bbaa, abab, bbbb]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*0,"positive example: [0, 010, 01010, 0101010], negative example: [1, 011, 0101, 010101]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011], negative example: [11, 110, 101, 1000, 0001, 0110, 1010, 1111, 11110, 10101]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0)|(1(1*0*)*1),"positive example: [00, 11, 010, 101, 0110, 1001, 01010, 10101], negative example: [0, 1, 01, 10, 001, 110, 0101, 1010]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*,"positive example: [""aba"", ""abba"", ""aabbba"", ""ababba"", ""aababbba""],  
negative example: [""ab"", ""ba"", ""aab"", ""bba"", ""abab""]"
even number of 1's,0*(10*1)*0*,0*(10*1)*,"positive example: [0, 010, 1010, 010101, 00010101], negative example: [1, 11, 0101, 1001, 101010]"
even number of 1's,(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example: ["""", ""0"", ""11"", ""0011"", ""101"", ""000111"", ""10101"", ""00110011""], negative example: [""1"", ""01"", ""110"", ""100"", ""1110"", ""1010"", ""00110"", ""11011""]"
Every b followed by two or more a's,(a|baa)*,a*|a*baa+,"positive example: [""a"", ""aa"", ""aaa"", ""baa"", ""baaa"", ""baaaa""], negative example: [""b"", ""ab"", ""aab"", ""aba"", ""aaba"", ""ba""]"
Every b followed by two or more a's,(a|baa)*,(baaa*)*,"positive example: [ba, baaa, baaaaa, baba, baaabaaa], negative example: [a, b, aa, ab, babaab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)?,"positive example: [11, 101, 1001, 010, 0010, 0000], negative example: [0, 1, 01, 10, 001, 110]"
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example: [""0110110"", ""0110"", ""0110110110"", ""0110110110110""], negative example: [""0"", ""1"", ""011"", ""011011""]"
Odd number of 1s,0*10*(10*10*)*,10*(10*10*)*,"positive example: [10, 1010, 101010, 10010, 1001010], negative example: [1, 0, 110, 101, 1001]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*,"positive example: [ababaaaa, abababaaaaa, ababababaaaaaa], negative example: [abaaaa, abababa, abababaaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)(bb)*(b),"positive example: [aabbb, aabb, bb, b, aaaabbb], negative example: [ab, aab, bbb, aabbbbb, a]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*a)?,"positive example: [aba, aaba, baba, aababa, ababaa], negative example: [aa, bb, ab, ba, aab, bba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b,"positive example:[aab, ab, bab, baab, bbb], negative example:[aa, bb, aba, bba, aaaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"positive example: [1, 111, 11111, 10, 1110, 01, 100], negative example: [0, 11, 101, 110, 1000, 1010, 1100]"
Length 1 or More,(0|1)(0|1)*,(0|1)(0|1),"positive example: [00, 01, 10, 11], negative example: [0, 1, 000, 111, 0101]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011],  
negative example: [11, 110, 101, 1001, 1100, 000, 1010, 10010, 11011, 11110, 0000, 0011, 0110, 0101, 10100, 101101, 100010, 110000, 111010, 00000, 00110, 01100, 01010, 101000, 101011, 100001, 110101, 111001, 000000, 00101, 01111, 01001]"
Every b followed by two or more a's,(a|baa)*,a*((b)(aa))*,"positive example: [""a"", ""aa"", ""baa"", ""aaaabaa"", ""baabaa""], negative example: [""b"", ""ab"", ""aab"", ""ba"", ""baaaa""]"
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*),"positive example: [01, 0110, 01110, 1110, 011110], negative example: [0, 1, 00, 11, 010]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baab*(b|a)b,"positive example: [baabab, aabaab, bbaabab, aabaaba], negative example: [baa, baba, abab, aabaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(10*1)*,"positive example: [010, 1001, 010010, 10101, 1010101], negative example: [0110, 10001, 01010, 10110, 010110]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1*0)*0*)|(1+(0*1)*1*),"positive example: [0, 1, 00, 11, 010, 101, 0000, 1111, 01010, 10101],  
negative example: [2, 3, 01a, 10b, 012, 120, 0012, 110a, 01012, 10101a]"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*b,"positive example: [""ab"", ""aab"", ""bb"", ""abbb"", ""aabbb""], negative example: [""ba"", ""aba"", ""bbb"", ""aabb"", ""b""]"
even number of 1's,(0*10*10*)*|0*,0*|(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example: [""0"", ""00"", ""11"", ""1111"", ""101"", ""1001"", ""110011"", ""0011"", ""00001111""], negative example: [""1"", ""01"", ""10"", ""0110"", ""1110"", ""1010"", ""00101"", ""1100"", ""0001""]"
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*,"positive example: [11, 0, 00, 1111, 000, 101, 1010, 101010, 110, 0011, 1100, 1001], negative example: [1, 01, 10, 100, 011, 1110, 1101, 1011, 0101, 0010, 1000, 0110]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))aaa,"positive example: [baaaa, aaaaa, bbaaa], negative example: [aaa, baa, abaa]"
non isolated 'b',(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*,"positive example: [""a"", ""bb"", ""bbb"", ""abbb"", ""bbbb"", ""aabbb"", ""bbba"", ""bbbbba"", ""aa"", ""bbbbb""],  
negative example: [""b"", ""ba"", ""bab"", ""bbab"", ""bbabbb"", ""abab"", ""baba"", ""bbabab"", ""abba"", ""bbabba""]"
non isolated 'b',(a|(b*bb))*,(a*((bb)*|(bbb)*)*a*)a*,"positive example: [""aa"", ""abba"", ""abbba"", ""abbbba"", ""aabbaa"", ""aabbbbaa"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb"", ""bbbbbb""],  
negative example: [""ab"", ""ba"", ""aba"", ""bab"", ""abab"", ""baba"", ""aab"", ""bba"", ""aaab"", ""bbba""]"
contains 'bab',(a|b)*(bab)(a|b)*,a+b(a+b)*bab(a+b)*,"positive example: [abab, aabab, ababab, aababab, abababab], negative example: [a, b, aa, bb, aba, bab, abba, baab]"
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)*a*)*a*,"positive example: [""a"", ""aa"", ""abba"", ""abbba"", ""aabbaa"", ""aabbbaa"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb"", ""abbbba"", ""aabbbbaa""],  
negative example: [""b"", ""ba"", ""bab"", ""baba"", ""abab"", ""ababa"", ""ababab"", ""bbab"", ""bbba"", ""bbaba"", ""bbabba"", ""bbabbba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?,"positive example: [""0"", ""1"", ""0001"", ""1110"", ""010"", ""1001"", ""000"", ""111""], negative example: [""2"", ""01a"", ""b1"", ""1012"", ""00a1"", ""1b0""]"
non isolated 'b',(a|(b*bb))*,(a*bb*ba*)*,"positive example: [ ""abba"", ""aabbaa"", ""bb"", ""abbbba"", ""aaabbbaa"" ], negative example: [ ""a"", ""b"", ""aba"", ""baab"", ""abab"" ]"
