Short Description,regex,Attempt Regex,ChatGPT Output
even prefix,(ab|ba)*,(aa|bb|ab|ba)*bb,"positive example: [bb, aabb, abbb, babb, aabbaabb], negative example: [aa, ab, ba, aab, bba]"
even prefix,(ab|ba)*,aabb(a|b)*,"positive example: [aabb, aabba, aabbb, aabbaa, aabbba], negative example: [aa, bb, abab, baba, aabab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"positive example: [ab, aab, aaab, b, aaaab], negative example: [ba, aba, a, aaaa, bb]"
At least one a followed by one b,a+b,(a|b),"positive example: [a, b], negative example: [c, d, ab, ba]"
At least one a followed by one b,a+b,a|b,"positive example: [a, b], negative example: [ab, aa, bb, ba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"positive example: [ab, aab, b, bb, aaaab], negative example: [a, ba, aba, aaba, baa]"
Odd number of 1s,0*10*(10*10*)*,0*|1(111)0*,"positive example: [""0"", ""00"", ""000"", ""1"", ""1110"", ""11100"", ""111000""], negative example: [""01"", ""10"", ""110"", ""111"", ""0111"", ""00111"", ""1111""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"positive example: [0011, 1100, 010, 101, 000111, 111000], negative example: [011, 100, 0010, 1101, 0001, 1110]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"positive example: [""0"", ""1"", """"], negative example: [""00"", ""11"", ""01"", ""10""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*(baa)+(a|b)*b,"positive example: [baab, baaab, abaaab, bbaaab, baaabb], negative example: [a, b, ab, ba, baba]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"positive example: [0, 1, 01, 10, 001, 110, 000, 111]  
negative example: [2, 3, 00a, 11b, 012, 1010, 0000, 1111]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a)*(bb)(b)*(a)(a*),"positive example: [aabbaa, aabbbaa, aabbaaa, aabbbaaa], negative example: [abba, aabba, aabbba, aabbbba]"
Odd number of b's,(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,"positive example: [abab, abaabab, aabbaab], negative example: [a, b, aba, baba, aabba]"
Three Choices (Regex),001|1010|110,1+0+11+0+,"positive example: [110011, 1110011, 100110], negative example: [1010, 1110, 1001]"
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"positive example: [babababa, bbaabbaa, baaabaaaba], negative example: [ba, baba, baaabaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa||bbaaa+,"positive example: [aa, bbaaa, bbaaaa], negative example: [a, b, bba, bbaa, bbaaaaaa]"
At least one a followed by one b,a+b,b+a,"positive example: [ba, bba, bbba, bbbba], negative example: [a, b, bb, bbb, ab, bab, baba]"
first and third,a(a|b)a(a|b)*,((a|b)aba(a|b)*),"positive example: [aabaa, babab, aabab, babaa], negative example: [abba, baba, aaab, bbba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*,"positive example: [abab, aabbaa, bbaaab, aababaa, abababab], negative example: [aaa, bbb, aba, aab, baa]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"positive example: [01011, 11000, 10101, 00110, 11111], negative example: [0, 1, 01, 10, 1010]"
non isolated 'b',(a|(b*bb))*,b(ab+ba+b)*,"positive example: [b, bab, baba, bba, bbabba, babbabba], negative example: [a, ab, ba, baa, abab, babbabab]"
even number of 1's,(0*10*10*)*|0*,0*1(0*10*10*)+,"positive example: [01010, 001001010, 00010010010], negative example: [01, 010, 00100]"
Three Choices (Regex),001|1010|110,1+0+011+0+,"positive example: [10011, 110011, 100011], negative example: [101, 1100, 1001]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a)*(b)(b)*(a)(a*),"positive example: [aabbaa, aabba, aabbbaa, aabbaaa], negative example: [abba, aab, bbaa, aabbb]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,[ab]*baa[ab]*b,"positive example: [baab, abbaab, baaab, baaaab, abbaaab], negative example: [abab, baba, ababab, bba, aabab]"
even prefix,(ab|ba)*,aaa*bbb*(a|b)*,"positive example: [aaabbb, aaaabbbb, aaabbbab, aaaabbbba], negative example: [aabbb, aaabb, aabab, aaabbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b(aaa)),"positive example: [a, baaa, baaaaa, baaaaaaa], negative example: [ba, baa, baaaa, baaaaaa]"
At least one a followed by one b,a+b,a*|b,"positive example: [""a"", ""aa"", ""aaa"", ""b""], negative example: [""ab"", ""ba"", ""c"", ""bb""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aaa),"positive example: [ab, aaa, abab, aaaab, abaaa], negative example: [a, b, aa, aab, aba, baa, aaaa, baba]"
At least one a followed by one b,a+b,a*,"positive example: ["""", ""a"", ""aa"", ""aaa""], negative example: [""b"", ""ab"", ""ba"", ""aab""]"
Three Choices (Regex),001|1010|110,(0+1)*01(0+1)*,"positive example: [01, 001, 101, 0101, 1001, 1101, 0001, 10101],  
negative example: [0, 1, 00, 11, 000, 111, 010, 1010]"
even number of 1's,(0*10*10*)*|0*,0*1(0|11)*,"positive example: [01, 0110, 011110, 00110, 00011110], negative example: [10, 110, 00100, 111, 0000]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"positive example: [a, bb, aabb, bba, aaa, bbbb, abba, bbaa], negative example: [ab, baba, abab, ba, baa, abbb, bbba, ababab]"
Three Choices (Regex),001|1010|110,(0|01),"positive example:[0, 01], negative example:[1, 10, 011]"
even prefix,(ab|ba)*,(aa)*b,"positive example:[b, aab, aaaaab], negative example:[a, aa, aaaa]"
Three Choices (Regex),001|1010|110,0|0|1,"positive example: [0, 0, 1], negative example: [00, 01, 10, 11]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"positive example: [aabbbb, bbabbb, aaaabbbb, bbbbbbb], negative example: [a, b, aa, bb, abab, baba, aaa, bbb, ababab]"
first and third,a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"positive example: [aaba, aabba, aabab, aabbb, aabaa], negative example: [ab, aa, aab, baa, aba]"
Odd number of b's,(a*ba*b)*a*ba*,[a]{1}([a]{2})*,"positive example: [a, aaa, aaaaa], negative example: [aa, aaaa, aaaaaa]"
first and third,a(a|b)a(a|b)*,a(a|b)b(a|b)*,"positive example: [aaba, abba, aabab, abbaa, aabbb], negative example: [aba, abb, aab, baba, bbaa]"
even prefix,(ab|ba)*,a,"Positive example: [""abc"", ""aabbcc"", ""aaabbbccc""], Negative example: [""ab"", ""aab"", ""abbc""]"
non isolated 'b',(a|(b*bb))*,(a+b)b(a+b),"positive example: [aba, abb, bba, bbb], negative example: [aa, ab, ba, bb, aab, bab, aaa, baa]"
Three Choices (Regex),001|1010|110,0,"positive example:[0, 00, 000], negative example:[1, 01, 10, 0001]"
Three Choices (Regex),001|1010|110,1,"positive example: [abc, aabbcc, aaabbbccc], negative example: [abcd, aabbc, aaabbbcccc]"
first and third,a(a|b)a(a|b)*,a(a|b)b(a+b)*,"positive example: [aaba, aabaa, aabba, aabaaa, aababa], negative example: [abba, aab, aaa, abab, baba]"
Three Choices (Regex),001|1010|110,(1|0)(001|10101|110)*,"positive example: [1001, 010101, 1110, 000110110, 11010101], negative example: [001, 10101, 110, 100, 0110]"
Three Choices (Regex),001|1010|110,(0|1)*0101(0|1)*,"positive example: [0101, 001010, 1010110, 00010100, 1010101], negative example: [010, 1010, 00100, 1111, 0000]"
At least one a followed by one b,a+b,(a*)ba,"positive example: [ba, aba, aaba], negative example: [b, aa, ab]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*b,"positive example: [abab, aabaaab, babb], negative example: [aa, bbb, aba]"
At least one zero followed by 0 or more 1s,0+1*,1,"positive example: [abc, aab, bca, aaabbbccc], negative example: [abcd, a1b, b@c, aaabbbcccd]"
even number of 1's,(0*10*10*)*|0*,0*10*11,"positive example:[""011"", ""0011"", ""01011"", ""0001011""],  
negative example:[""0"", ""1"", ""00"", ""10"", ""110"", ""1010"", ""00101""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),-1,"positive example: [""-1"", ""-1-1"", ""-1-1-1""], negative example: [""1"", ""--1"", ""-1a"", ""1-1""]"
Three Choices (Regex),001|1010|110,[001]|[10101]|[110],"positive example: [001, 10101, 110, 0, 1, 01, 10, 11, 101, 1001], negative example: [000, 111, 010, 100, 1011, 1100, 1010, 0110, 0011, 10001]"
Three Choices (Regex),001|1010|110,11010110,"positive example:[11010110], negative example:[1101011, 1010110, 11011011]"
Odd number of 1s,0*10*(10*10*)*,0*(10*1),"positive example: [011, 0101, 00101, 101, 000101], negative example: [0, 1, 00, 010, 100]"
At least one a followed by one b,a+b,ba+,"positive example:[ba, baa, baaa], negative example:[b, a, ab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a(a*)b,"positive example: [ab, aab, aaab], negative example: [b, a, aaa]"
first and third,a(a|b)a(a|b)*,abba,"positive example: [abba, aabbaa, abbaabba], negative example: [aba, baba, aabb]"
Three Choices (Regex),001|1010|110,(0|1)*0101(0|1),"positive example: [01010, 101010, 001011, 01011, 101011], negative example: [0100, 10100, 00100, 1100, 0001]"
Odd number of b's,(a*ba*b)*a*ba*,(bb)+,"positive example:[bb, bbbb, bbbbbb], negative example:[b, bbb, bbbbb]"
Odd number of 1s,0*10*(10*10*)*,0*|1(1)0*,"positive example: ["""", ""0"", ""00"", ""1"", ""10"", ""100"", ""110"", ""1110""], negative example: [""01"", ""011"", ""101"", ""001"", ""111""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a*)b,"positive example: [ab, aab, aaab, aaaaab], negative example: [b, a, aa, aaaa, ba, aba, aaba]"
even prefix,(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"positive example: [aa, aba, aabaa, aababaa, aabaaaabaa], negative example: [a, b, ab, ba, aab, aaba, aabab, aabaaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*(baa)+(a|b)*b+,"positive example: [baaab, baaabab, abaaabb, baaabbaaab], negative example: [a, b, ab, ba, baaa, baa, baab, bbaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"positive example: [01, 001, 110, 1001, 1110], negative example: [0, 1, 00, 11, 010]"
Every b followed by two or more a's,(a|baa)*,a*b(a*ba*b)*a,"positive example: [""aba"", ""ababa"", ""aabaa"", ""aaabaaa"", ""ba""],  
negative example: [""ab"", ""baa"", ""aab"", ""bb"", ""abab""]"
Odd number of 1s,0*10*(10*10*)*,0*,"positive example: ["""", ""0"", ""00"", ""000""], negative example: [""1"", ""01"", ""10"", ""001""]"
At least one a followed by one b,a+b,(a*b)*a,"positive example: [aa, aaba, bbaa, a, baa], negative example: [ab, b, aba, aab, baab]"
Three Choices (Regex),001|1010|110,((0|01)(1|10)),"positive example:[011, 0110, 0101], negative example:[0, 01, 1, 10, 001, 010]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"positive example: [01011, 11001, 101010], negative example: [01, 110, 1010]"
Odd number of 1s,0*10*(10*10*)*,(0*10*10*10*10*)*,"positive example: [""10101010"", ""0001000100010001"", ""0101010101010101"", ""00001000010000100001"", ""1000001000001000001""], negative example: [""0"", ""1"", ""01"", ""10"", ""001100"", ""110011"", ""00001111"", ""11110000"", ""0101010"", ""1010101""]"
Three Choices (Regex),001|1010|110,(1|0)(001|1010|110)*,"positive example: [1001, 01010, 1110, 000110, 1101010, 1010110], negative example: [11, 000, 101, 1101, 00101, 1010101]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)*b,"positive example: [ab, aab, abab, aabab, aaaababab], negative example: [b, aa, aba, aaba, abba]"
Every b followed by two or more a's,(a|baa)*,abb*,"positive example: [ab, abb, abbb, abbbb], negative example: [a, b, bb, bbb, abab, abba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(ba*b))b,"positive example: [abab, aabab, babb, aaababb, bbab], negative example: [a, b, aba, baba, aabba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,"positive example: [""a"", ""baa"", ""abaa"", ""aabaa"", ""baabaa"", ""aabaabaa"", ""aaa"", ""baabaaa""],  
negative example: [""b"", ""ba"", ""aba"", ""aab"", ""baaba"", ""baaabaa"", ""ab"", ""baaab""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a+|b*a*,"positive example: [""a"", ""aa"", ""aaa"", ""b"", ""ba"", ""bba"", ""aab"", ""bbaa""], negative example: [""ab"", ""aba"", ""baba"", ""aaba"", ""baab""]"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"positive example: [""011"", ""0101"", ""001001"", ""010101"", ""0100101""], negative example: [""0"", ""1"", ""00"", ""11"", ""010""]"
