Short Description,regex,Attempt Regex,ChatGPT Output
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+[ba]*|(b*a*),"positive example: [a, aa, ab, aab, ba, baa, bba, b, bb, bbb, aaa, aba, abba, baba], negative example: [abab, bbaa, ababab, bbaabb, aaabbb, bbaaab]"
non isolated 'b',(a|(b*bb))*,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, aba, bba, aabb], negative example: [c, ac, bc, abc, aac, bbc, abac, aabc]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa,"positive example: [aaaa, bbaaa, aabaaa, bbbaaa], negative example: [a, b, aa, bb, aab, bba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"positive example: [aaa, aaaaa, bbaaa, abbaaa, bbaaaaa], negative example: [aa, bb, aab, bba, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"positive example: [aaa, aaaaa, bbaaa, abaaa, baaaa, aaabaa, bbbaaa], negative example: [aa, bb, ab, ba, a, b, aab, bba, aba, baa]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"positive example: [a, b, bab, ab, ba, baba, abab, aa, bb, babb], negative example: [abba, bbaa, abaab, bababab, bba, aab, ababab, babaab, aabb, babba]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"positive example: [abba, aabbaa, bbaabb, abab, baba, aabbaabb, bbaaabba, aabbaaabbaa], negative example: [a, b, aba, bab, aab, bba, aabab, bbaba, aabbb, bbaaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"positive example: [ab, aab, b, aabab, aabbaa], negative example: [aa, ba, aba, baa, aaba]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"positive example: [""bb"", ""abba"", ""aabbaa"", ""bbbb"", ""ababba"", ""a""], negative example: [""ba"", ""aba"", ""baba"", ""aaab"", ""bbab"", ""abab""]"
Every b followed by two or more a's,(a|baa)*,(a|(b*aa))*,"positive example: [a, baa, abaa, aaa, bbaa], negative example: [b, bb, aba, baba, abab]"
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*(a)*)*,"positive example: [""a"", ""aa"", ""aaa"", ""b"", ""ab"", ""aab"", ""aba"", ""baa"", ""aaba"", ""aaaa"", ""bb"", ""aabaa""],  
negative example: ["""", ""c"", ""ac"", ""ca"", ""bac"", ""abc"", ""aac"", ""abbc"", ""aabb""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"positive example: [aa, aba, bba, aaba, abba, baba, aabba, ababa], negative example: [ab, ba, bb, aab, abb, baa, bab, bbba]"
even number of 1's,(0*10*10*)*|0*,(0*|1)*(0*|1)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""000"", ""111"", ""0101"", ""1010""], negative example: [""2"", ""00a"", ""b11"", ""01c"", ""d10"", ""e"", ""f"", ""g"", ""h"", ""i""]"
Three Choices (Regex),001|1010|110,0*1(01)*1*0*,"positive example: [""0110"", ""010110"", ""001100"", ""0101010"", ""000111000""],  
negative example: [""10"", ""001"", ""1100"", ""01010"", ""0001111""]"
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"positive example: [aaaaa, aabaa, aabab, aabba, aaabba], negative example: [ab, ba, a, b, abab]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"positive example:[""#"", ""a"", ""b"", ""/"", ""#/"", ""/#"", ""a#"", ""b#"", ""/#/""], negative example:[""ab"", ""//"", ""aa"", ""bb"", ""##"", ""a/b"", ""a/#b"", ""a#b#""]"
even prefix,(ab|ba)*,a*b*(a|b)*,"positive example: [aaabbb, aab, bbb, aabb, ab, a, b, aaabbbab], negative example: [ba, aba, bba, aabba, abab, baba, aabbaa, bbaa]"
Odd number of b's,(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"positive example: [ab, aba, abab, ababb, aabba, b, bb, bba, abbb, ababab],  
negative example: [aa, aaa, bbb, aab, baa, bab, baba, abbaa, ababba, abababab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aaa,"positive example: [aaa, baaa, aabaaa, bbaaa, aaaaa], negative example: [a, b, ab, ba, aab, bba, aa, bb, aabba]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"positive example: [0, 1, 00, 11, 010, 101, 0000, 1111, 0110, 1001], negative example: [01, 10, 001, 110, 0101, 1010, 0001, 1110]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)*a*b*a*,"positive example: [a, aa, aab, aaba, aabaa, b, ab, aabba, aabbaa], negative example: [aba, abab, baba, aabab, ba, baa, abaa, aababaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)*,"positive example: [ab, aba, aabaa, b, babab, aababaa], negative example: [aa, a, aaaa, ba, bba, abababba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaaa*,"positive example: [aaaa, baaaa, aabaaaa, bbaaaaaa, aaaa], negative example: [a, b, ab, ba, aab, bba, aaba, bbba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+,"positive example: [ba, aba, aabaa, baaaab, aabbaa], negative example: [a, aa, ab, b, aab]"
Odd number of 1s,0*10*(10*10*)*,(0*10*1*)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""100"", ""0101"", ""1010"", ""000110"", ""1100""],  
negative example: [""2"", ""11"", ""1011"", ""1101"", ""111"", ""0110"", ""1001"", ""000111"", ""10101"", ""1110""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"positive example: [abab, aabab, baab, abba, aabba], negative example: [aa, bb, aba, bba, aaa]"
first and third,a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"positive example: [aaaa, aaba, aabaa, aabab, abaa, abab, abaab, ababa],  
negative example: [a, b, aa, ab, ba, bb, aab, abb, baa, bab, bba, bbb]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example: [aa, bb, aaaa, bbbb, ab, ba, abab, baba, aabb, bbaa, aabbaa, bbaabb], negative example: [a, b, aba, bab, aab, bba, abba, baab, aabab, bbaba]"
even prefix,(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"positive example: [ ""aaab"", ""aabba"", ""abab"", ""bbaa"", ""aabbaa"" ],  
negative example: [ ""abc"", ""bca"", ""aac"", ""bbaabx"", ""abbaaabz"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"positive example: [baab, baaaab, abaaab, baaab, baaabb], negative example: [a, b, ab, ba, baba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"positive example: [""0101010"", ""1010101"", ""1001"", ""0110"", ""00110011"", ""11001100"", ""000101000"", ""111010111""],  
negative example: [""010"", ""101"", ""100"", ""011"", ""0011"", ""1100"", ""0000"", ""1111""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"positive example: [aaa, baaa, aabaaa, bbaaaa, aaaaa], negative example: [a, b, ab, ba, aab, bba, aaba, bbaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"positive example: [""aabab"", ""aabba"", ""abab"", ""abba"", ""baab"", ""bbab""],  
negative example: [""a"", ""b"", ""aa"", ""bb"", ""aba"", ""bab"", ""aaa"", ""bbb""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"positive example: [ab, baaab, baaaab, babb, abab], negative example: [ba, aaa, baaa, baab, bba]"
Odd number of b's,(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","positive example: [abba, aabbbaa, aabbaa, bbbaa, aabbbbaa], negative example: [a, b, aba, bbba, aababaa]"
even number of 1's,(0*10*10*)*|0*,0*(0|1)*,"positive example: [0, 01, 0001, 10, 0000], negative example: [2, 012, 0012, 11a, 101b]"
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"positive example: [""1"", ""11"", ""111"", ""01"", ""10"", ""101"", ""110"", ""011"", ""0011"", ""1001""],  
negative example: ["""", ""0"", ""00"", ""000"", ""010"", ""001"", ""0001"", ""0100""]"
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"positive example: [0, 1, 01, 10, 00, 11, 001, 110, 000, 111],  
negative example: [2, 3, 12, 20, 21, 22, 012, 120, 201, 210]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*,"positive example: [0, 01, 010, 0010, 00010, 01010], negative example: [1, 10, 100, 1010, 0111, 1110]"
first and third,a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"positive example: [aaaa, ababa, aabaa, abbba, aabba], negative example: [a, b, aba, baba, aaab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"positive example: [110, 1010, 111, 000, 01010, 1001], negative example: [011, 100, 0011, 1100, 10101, 0000]"
even prefix,(ab|ba)*,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb], negative example: [c, ac, bc, abc, aac, bbc, aabbcc]"
even prefix,(ab|ba)*,(ab|ba)*|(ab|bb)*,"positive example: [ab, ba, abab, baba, abba, bb, abbb, bbab], negative example: [a, b, aa, bbb, aba, bab, abb, baa]"
non isolated 'b',(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example: [""a"", ""aa"", ""bbb"", ""abbb"", ""bbab"", ""aabba"", ""bab"", ""bba""],  
negative example: [""b"", ""ba"", ""ab"", ""aab"", ""aba"", ""baa"", ""abb"", ""baba""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"positive example: [baaaaa, aaaaa, bbaaaaa, abaaaaa, aabaaaa], negative example: [a, b, aa, bb, aba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"positive example: [a, b, aa, ab, ba, aab, aba, baa, aaba, abaa, baaa, aabaa, abaab, baaab, aababa, abaaba, baaaab, aababaa, abaabaa, baaaaab],  
negative example: [c, ac, bc, abc, bac, aac, bbc, aabc, abac, baac, aabbc, abaac, baaac, aabac, abaabc, baaaac, aabacb, abaabac, baaaaac]"
even number of 1's,(0*10*10*)*|0*,(0*|1*0*1*)+,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001"", ""0010"", ""0011"", ""0100"", ""0101"", ""0110"", ""0111"", ""1000"", ""1001"", ""1010"", ""1011"", ""1100"", ""1101"", ""1110"", ""1111""],  
negative example: [""2"", ""a"", ""b"", ""02"", ""20"", ""12"", ""21"", ""102"", ""201"", ""120"", ""210"", ""012"", ""021"", ""0012"", ""0021"", ""0102"", ""0201"", ""1012"", ""1021"", ""1102"", ""1201""]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"positive example: [bb, abb, bba, aabba, aaa, bbb, ababba], negative example: [a, b, aba, bab, aaab, baba, abab]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0|1)*,"positive example: [0, 01, 001, 0001, 00001], negative example: [1, 10, 11, 101, 110]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0011"", ""1100"", ""01010"", ""10101""],  
negative example: ["""", ""01"", ""10"", ""011"", ""100"", ""0010"", ""1101"", ""0101"", ""1010"", ""01100""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"positive example: [baa, abaa, baaab, aabaa, bbaa], negative example: [a, b, ab, ba, aba]"
non isolated 'b',(a|(b*bb))*,(a*(b*b)*a*)*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"", ""baa"", ""bab"", ""bba"", ""bbb"", ""aaaa"", ""aaab"", ""aaba"", ""aabb"", ""abaa"", ""abab"", ""abba"", ""abbb"", ""baaa"", ""baab"", ""baba"", ""babb"", ""bbaa"", ""bbab"", ""bbba"", ""bbbb""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""bca"", ""aac"", ""bbc"", ""abac"", ""bbca"", ""aabc"", ""abbc""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{3},"positive example: [aaa, baaa, abaa, bbaaa, aabaaa], negative example: [aa, aab, bba, abab, bbaa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"positive example: [""aabbaab"", ""baabaa"", ""ababba"", ""aabab"", ""bbabba""],  
negative example: [""aabbb"", ""ababab"", ""baabbb"", ""aaabbb"", ""bababab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"positive example: [aaa, aaaaa, baaa, aabaa, bbaaa], negative example: [aa, ab, ba, bb, aab]"
non isolated 'b',(a|(b*bb))*,(a|b(b*))*,"positive example: [a, b, ab, bb, aab, abb, bbb, abbb, aabb, baba], negative example: [c, ac, bc, abc, bca, aac, bbc, abac, bbca, aabc]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"positive example: [aaa, aaaa, baaa, aabaa, bbbaaa], negative example: [aa, bb, aab, bba, aabba]"
even prefix,(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aaaa, abab, baba, bbaa, aabb, abba], negative example: [a, b, aba, bab, aab, bba, aaab, bbba, abbb, baaa]"
non isolated 'b',(a|(b*bb))*,(a|(bb*))*,"positive example: [a, b, bb, aab, bba, abab, bbb, aaaa, abbb, baba], negative example: [c, ac, bc, abc, bca, aac, bcc, abbc, bbba, abca]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"positive example: [""1"", ""0"", ""11"", ""00"", ""101"", ""010"", ""1110"", ""0001"", ""11101"", ""00010""],  
negative example: ["""", ""01"", ""10"", ""011"", ""100"", ""1010"", ""0101"", ""1100"", ""0011"", ""11001""]"
Every b followed by two or more a's,(a|baa)*,[ab]*(baa)*,"positive example: [ab, baa, abbaa, aabbaa, baaab], negative example: [aba, baba, aaba, bbba, ababaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,"positive example: [ba, aba, baba, ababa, bababa], negative example: [a, aa, b, ab, bb, aab, abb, bbb, aaa, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"positive example: [ab, baa, baaaa, aaaa, baaaaa], negative example: [ba, aa, baaa, abaa, bbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*,"positive example: [aa, ab, ba, bb, aaa, aba, bba, abab, baaa], negative example: [a, b, c, ac, bc, abc, bac, cab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*,"positive example: [101, 010, 1101, 0010, 101010],  
negative example: [11, 00, 111, 000, 111000]"
At least one zero followed by 0 or more 1s,0+1*,0*1*,"positive example: ["""", ""0"", ""1"", ""01"", ""001"", ""0001"", ""011"", ""0011"", ""00011""], negative example: [""10"", ""100"", ""110"", ""101"", ""010"", ""00101""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""00100"", ""11011""],  
negative example: [""01"", ""10"", ""0011"", ""1100"", ""0101"", ""1010"", ""000111"", ""111000""]"
even prefix,(ab|ba)*,(ab|ba|aa|bb)*,"positive example: [ab, ba, aa, bb, abab, baba, aaaa, bbbb, abba, baab], negative example: [a, b, aba, bab, abbb, baaa, abababab, bbaa, aab, bba]"
Every b followed by two or more a's,(a|baa)*,((b+a+a)*a*)*,"positive example: [""baa"", ""baaaa"", ""baabaa"", ""a"", ""ba"", ""baaabaa""], negative example: [""b"", ""bb"", ""bab"", ""ab"", ""bba"", ""baba""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101],"positive example: [000, 01, 101, 0101, 111], negative example: [2, 12, 102, 0202, 211]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa,"positive example: [aaaaa, bbaaa, abaaa, baaaa, aaaa, baaa], negative example: [aa, bb, ab, ba, a, b, aab, bba, aba, bab]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*,"positive example: [ab, ba, aab, bba, abab, baba, aaaa, bbbb, abaa, babb], negative example: [a, b, aa, bb, aba, bab, aabb, bbaa, abba, baab]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example: [""0"", ""1"", ""00"", ""10"", ""010"", ""101"", ""0000"", ""1010"", ""1101"", ""1111"", ""00000"", ""10101"", ""11110"", ""000001"", ""101010"", ""111101""],  
negative example: ["""", ""2"", ""01a"", ""11b"", ""001c"", ""101d"", ""0000e"", ""1010f"", ""1101g"", ""1111h"", ""00000i"", ""10101j"", ""11110k"", ""000001l"", ""101010m"", ""111101n""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*,"positive example: [0, 1, 00, 01, 10, 11, 000, 010, 101, 110, 0010, 1010, 0101],  
negative example: [2, 3, 12, 20, 21, 22, 012, 120, 102, 210, 0012, 1201]"
even prefix,(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [aa, bb, aabb, abab, abba, baba, bbaa, baab, aabbaa, bbabba, ababab, babaab, aaaabb, bbaabb, abbaaa, bbaaab], negative example: [a, b, aba, bab, aab, bba, abbb, baaa, abbba, baaab, ababba, baabab]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*a*))*,"positive example: [aa, b, a, ba, ab, aab, baa, bbaa, aaaa, bba], negative example: [c, ac, bc, abc, aabbc, bca, abca]"
Every b followed by two or more a's,(a|baa)*,(a|(b*a(a)*))*,"positive example: [a, aa, baa, abaa, baaa, aabaa], negative example: [b, bb, bab, bba, abab, bbba]"
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa+))+|[a]*,"positive example: [a, aa, b, aab, aaa, aabaa, baa, aabaaa], negative example: [ab, ba, aabab, bba, aaba, abaa]"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11),"positive example: [""11"", ""010"", ""1010"", ""00100"", ""11011""], negative example: [""0"", ""1"", ""00"", ""01"", ""10"", ""100"", ""101"", ""1001"", ""1011""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?,"positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bba"", ""aab"", ""aba"", ""abba"", ""aaba"", ""aaab"", ""aabba"", ""ababa"", ""abbba"", ""aababa"", ""aabbba"", ""ababba"", ""aaabba"", ""aaababa""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""aac"", ""abbc"", ""aabc"", ""abac"", ""aabac"", ""ababc"", ""aabbc"", ""aaabc"", ""aabbac"", ""ababac"", ""aababac""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*,"positive example: [aa, baaa, abaa, bbaa], negative example: [a, b, aba, bba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+),"positive example: [aaa, bbaa, abbaa, baaaa, ababaa], negative example: [a, b, ab, ba, aab, bba, aba, baa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*,"positive example: [aa, ab, aaa, baa, abaaa, bbaaa], negative example: [aabbb, bbb, aabab, baba, ababab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)+b,"positive example: [ab, baaab, baaabaaab, baab, baaabab], negative example: [a, b, ba, baaa, baaabaa]"
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|b+a+a)+(a*),"positive example: [aaa, aabaa, aaabaa, aaaaa, baa], negative example: [aba, baba, bba, aab, baaab]"
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,"positive example: [abab, baba, ababab, baab, abba, abababab, babaab, ababba], negative example: [a, b, aa, bb, aba, bab, abbb, baaa]"
At least one a followed by one b,a+b,[ab]*(ab)[ab]*,"positive example: [abab, aabab, ababab, babaab, ab],  
negative example: [aa, bb, a, b, baa]"
non isolated 'b',(a|(b*bb))*,(a|(b)*)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb],  
negative example: [c, ac, bc, abc, aac, bbc, ca, cb, cab, cba, cc]"
At least one a followed by one b,a+b,(a|b)*(b),"positive example: [ab, bb, aab, bbb, abab], negative example: [a, aa, aaa, aba, baba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*,"positive example: [a, aba, ababa, aabaa, aababaa], negative example: [b, ab, ba, abab, babab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, aba, bba, abab], negative example: [c, ac, bc, abc, a1b, a b, ab., a+b]"
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*,"positive example: [ab, aab, aaaab, b, abab, aabaa, aabbaa, aabbbbaa], negative example: [ba, aba, aaba, aaaba, bba, abba, aabbba, aabbbab]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+,"positive example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""01"", ""10"", ""001"", ""110"", ""010"", ""101"", ""0011"", ""1100"", ""0101"", ""1010""],  
negative example: ["""", ""2"", ""012"", ""102"", ""0012"", ""1102"", ""0102"", ""1012""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*,"positive example: [""ab"", ""aab"", ""abb"", ""aabb"", ""abab"", ""aabab"", ""ababb"", ""aababb""], negative example: [""ba"", ""b"", ""aa"", ""bb"", ""aba"", ""bab"", ""aaba"", ""bbab""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)*0*,"positive example: [0, 00, 000, 1, 01, 10, 001, 100, 000100], negative example: [2, 012, 102, 0002, 2010]"
even prefix,(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?),"positive example: [aabb, ababab, bbaaab, aabbaa, ababbaab, babaab, baabaa, ab],  
negative example: [a, b, aaabbb, bbbaaa, abbb, baaa, ababbaaabb, bbaaabab]"
non isolated 'b',(a|(b*bb))*,(a*|(bb*))*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""aab"", ""bba"", ""abba"", ""aaabbb""],  
negative example: [""c"", ""ac"", ""baa"", ""abab"", ""aabbc"", ""abca""]"
