shortdescription,regex,attemptregex
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*
At least one a followed by one b,a+b,(a*(b))*
At least one a followed by one b,a+b,(a)+(b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*
Odd number of 1s,0*10*(10*10*)*,(0*10*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)+a+a+a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa
non isolated 'b',(a|(b*bb))*,a*|((a|b)*bb(a*b*))
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*
non isolated 'b',(a|(b*bb))*,(a*(bb)*b*a*)*
even number of 1's,(0*10*10*)*|0*,0*(0*1*)*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*
even prefix,(ab|ba)*,((aa|bb|ab|ba)?)*
At least one a followed by one b,a+b,a*b
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*
Odd number of b's,(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*
even prefix,(ab|ba)*,(a|b)*(ab|ba|aa|ab)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0|(0|1)*|0
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)?
Odd number of b's,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*)
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*a*)+
even prefix,(ab|ba)*,(aa|ab|ba|bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b))*b+a*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*)
non isolated 'b',(a|(b*bb))*,((b(b*))|a)*
At least one a followed by one b,a+b,(a|b)*a*b
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*
non isolated 'b',(a|(b*bb))*,((bb*)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*|b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a|b(bb)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*)*
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1)
non isolated 'b',(a|(b*bb))*,(b(b*)|a)*
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*)
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa|a*)*
At least one a followed by one b,a+b,(a|b)*
even prefix,(ab|ba)*,((a|b)(a|b))*
At least one a followed by one b,a+b,[ab]*[a][b][ab]*
Odd number of b's,(a*ba*b)*a*ba*,(a|b|bb)+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*
first and third,a(a|b)a(a|b)*,a(a|b)+a(a|b)*
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*
non isolated 'b',(a|(b*bb))*,(((b*bb*)|a)?)*
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*a*)*
At least one a followed by one b,a+b,a+b+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}"
Odd number of b's,(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*
Length 1 or More,(0|1)(0|1)*,(1|0)*|(0|1)*
Odd number of b's,(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*
At least one a followed by one b,a+b,a*b+
Every b followed by two or more a's,(a|baa)*,(a|b(aa*))*
At least one a followed by one b,a+b,a*b*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*
non isolated 'b',(a|(b*bb))*,(a|(b*bb*))*
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*
Odd number of 1s,0*10*(10*10*)*,((0|1))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)
non isolated 'b',(a|(b*bb))*,(bb)*(a|b)*(bb)*
even prefix,(ab|ba)*,(a+b|b+a)*
At least one a followed by one b,a+b,(a|b)*(ab)
even prefix,(ab|ba)*,(aa|ab|ba|ba)*
At least one a followed by one b,a+b,(aa*b)*
non isolated 'b',(a|(b*bb))*,(a|((b|bb)+))*|a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*1*)*0*
At least one a followed by one b,a+b,(a*)+b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*
even number of 1's,(0*10*10*)*|0*,0*(0*1+)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)*
even prefix,(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*
even prefix,(ab|ba)*,(ab)*(ab|ba|aa|ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+
Odd number of b's,(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*
Three Choices (Regex),001|1010|110,1*0*01*0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))+
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b|(a*b*)*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*a*)*
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*
first and third,a(a|b)a(a|b)*,(a)(a|b)*
At least one a followed by one b,a+b,(a|b)*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|ba*)+b
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*
even prefix,(ab|ba)*,(ab|aa|bb|ba)*(a+b)*
At least one a followed by one b,a+b,a+b*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*(0|1)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|(ab)*b*a*
Every b followed by two or more a's,(a|baa)*,a*(b+aaa*)*
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a|b)+)+)aaa
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*
non isolated 'b',(a|(b*bb))*,(a|b|bb)*
even number of 1's,(0*10*10*)*|0*,(0*(1+0*1+)*0*)*
contains no 00 nor 11,1?(01)*0?,((1)?(0)?)*
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba
At least one a followed by one b,a+b,a|b*a*b
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*a(a|b)*|b*a*
non isolated 'b',(a|(b*bb))*,(a|bb*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*
even prefix,(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*
Every b followed by two or more a's,(a|baa)*,(a|(a*b*(aa)a*)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa
Every b followed by two or more a's,(a|baa)*,a*|(a|b)*aa
At least one a followed by one b,a+b,a|a*b
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*
Three Choices (Regex),001|1010|110,001|110|10101|1010
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*
Odd number of b's,(a*ba*b)*a*ba*,(a*b+a*)*
Odd number of b's,(a*ba*b)*a*ba*,([ab](a)*(bb)*)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*
Odd number of b's,(a*ba*b)*a*ba*,(a*|b?)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa)+
even prefix,(ab|ba)*,(aa|bb|ab|ba)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|ba*b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*)(0*1*)*(0*)
Every b followed by two or more a's,(a|baa)*,[a]*[baa]*
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*))
non isolated 'b',(a|(b*bb))*,(a|(b*b)*)*
even prefix,(ab|ba)*,(((aa)|(bb)|(ab)|(ba))?)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+(1*0)*)*|(1+(0*1)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*|(baa)+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0)*(0*1*)*(0)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)|((a|b)a*b))*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaa*
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|(b+a+a))+(a*)
even number of 1's,(0*10*10*)*|0*,((0*|1)*(0*|1)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?(0|1)?(0|1)?
contains 'bab',(a|b)*(bab)(a|b)*,(a*b*(bab)*a*b*)*
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0|1|(0(1*0*)*0)*|(1(0*1*)*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*
