shortdescription,regex,attemptregex
even number of 1's,(0*10*10*)*|0*,(0*10*10*)(0*10*10*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b))
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*a*b
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*(a+(bb))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa)
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+
non isolated 'b',(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*
even number of 1's,(0*10*10*)*|0*,(0*(11)*0*0*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)(baa)*(b)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1|1+(0|1)+1|0+(0|1)0+
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)
non isolated 'a',(b|(a*aa))*,(b*(aaa*)b*)*
even prefix,(ab|ba)*,(ab)*(ba)*|(ba)*(ab)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)
Every b followed by two or more a's,(a|baa)*,"a?ba{2,}"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*bb*(a*bb*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab][ab][ab]*aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(1|0)*1|0(1|0)*0
An even number of 1's,(0|10*1)*,(0*10*1)*|0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+|1+|0+(1+0+)+|1+(0+1+)+
Every b followed by two or more a's,(a|baa)*,(b(aa)+a*)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)(baa)+b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|0)*0
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*0
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0)|(1(1*0*)*1)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*
even number of 1's,0*(10*1)*0*,0*(10*1)*
even number of 1's,(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*
Every b followed by two or more a's,(a|baa)*,a*|a*baa+
Every b followed by two or more a's,(a|baa)*,(baaa*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)?
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*
Odd number of 1s,0*10*(10*10*)*,10*(10*10*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,(a*)(bb)*(b)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*a)?
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)
Length 1 or More,(0|1)(0|1)*,(0|1)(0|1)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)
Every b followed by two or more a's,(a|baa)*,a*((b)(aa))*
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baab*(b|a)b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(10*1)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1*0)*0*)|(1+(0*1)*1*)
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*b
even number of 1's,(0*10*10*)*|0*,0*|(0*(11)*)*|(10*1)*|(0*(11)*)*
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))aaa
non isolated 'b',(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*
non isolated 'b',(a|(b*bb))*,(a*((bb)*|(bbb)*)*a*)a*
contains 'bab',(a|b)*(bab)(a|b)*,a+b(a+b)*bab(a+b)*
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)*a*)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?
non isolated 'b',(a|(b*bb))*,(a*bb*ba*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0|1)*0)|(1(0|1)*1))?
non isolated 'b',(a|(b*bb))*,(a?bba?)
Every b followed by two or more a's,(a|baa)*,(b(aa+))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1+0+)*|1(1*0+1+)*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*|b*a*)*(baa)a*b+
non isolated 'a',(b|(a*aa))*,(b*aa+|aa+b*|b*)
Every b followed by two or more a's,(a|baa)*,"(a)*ba{2,}(a)*ba{2,}|a*"
"No or loop 1 or 01, and end by 0",(1|01)*(0?),(0?)((1+)(0|01))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab]aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01*)*(010)(1*0)*)|((10*)*(101)(0*1)*)|0+|1+)?
first and third,a(a|b)a(a|b)*,(aaa+aba)(a+b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(11*0*11*)*|(00*1*00*)*
even prefix,(ab|ba)*,(ba)*(ab)*(ba)*(ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*bab*aaa*(b|a)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1(0|1)*1)|(0(0|1)*0))?
Length 1 or More,(0|1)(0|1)*,(0|1)|(01*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a+|b+)(aaa+)
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0+1+)(0|1)*(1+0+)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)
non isolated 'b',(a|(b*bb))*,(a+(bb))*
non isolated 'b',(a|(b*bb))*,a*(bb)*a*
contains 'bab',(a|b)*(bab)(a|b)*,(bab)(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,(ba*a*)(ba*a*b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))(a*)(b*)aaa
4 | #0,1*(01*01*01*01*)*,1*00001*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)|(0*1(10*1)*0*(10*1)*0*)
Odd number of b's,(a*ba*b)*a*ba*,a*ba*|b
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,[b]*|[a]*
non isolated 'a',(b|(a*aa))*,(aa)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*|(01)*0|(10)*1
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*(baa+)+b
Odd number of b's,(a*ba*b)*a*ba*,ba*|a*b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"ab{2,}a{3,}"
even number of 1's,(0*10*10*)*|0*,(0*(10*1)*)|(0*)
Length 1 or More,(0|1)(0|1)*,(0|1)
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+(0*1*)*1+|0+(0*1*)*0+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+)+aaa
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(00|01|10|11)|(000)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*b))?
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*bb(a)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*(ba|ab|b)
Odd number of b's,(a*ba*b)*a*ba*,a*(a*ba*(ba*b)*)a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+((10)*|(01)*)0+
Odd number of b's,(a*ba*b)*a*ba*,a*b((bb)*a*)*
non isolated 'b',(a|(b*bb))*,(a*(b*bb))*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*(bb)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0|1(1*0*)*1)?
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(b(a*)b)*a*
even prefix,(ab|ba)*,(ab)*(ba)*(ab)*(ba)*
non isolated 'b',(a|(b*bb))*,a*(bb)*(a)*
Every b followed by two or more a's,(a|baa)*,a*|(baa+)
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb)*(a)*(bb|bbb)*(a?)*
even number of 1's,(0*10*10*)*|0*,0*(10*1)+
non isolated 'b',(a|(b*bb))*,(abba)*
non isolated 'a',(b|(a*aa))*,b*aa*ab*|b*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)
even number of 1's,(0*10*10*)*|0*,(0*110*)+
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a(a|b)a*b)*(a?)?
Length 1 or More,(0|1)(0|1)*,(0|1)1*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+1*0*1*0*0+
even number of 1's,(0*10*10*)*|0*,0*|(11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)|(1+0+1(1|(0+1))*)|(0+1+0(0|(1+0))*)
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*|10*110*1
Every b followed by two or more a's,(a|baa)*,b(aa)[a]*
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|(10*1)0*
non isolated 'b',(a|(b*bb))*,(a*|(bb)+)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a(a|b)a*b)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|0*|(1+0*)1+|(0+1*)0+
non isolated 'b',(a|(b*bb))*,(a+bb)*(bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa*bb*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,a*b((a*ba*)(a*ba*))*
non isolated 'b',(a|(b*bb))*,((a|b)(bb)(a|b))*
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*|a*|(bb+)*a*(bb+)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)
An even number of 1's,(0|10*1)*,(0+|10*1)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)+aaa
even number of 1's,(0*10*10*)*|0*,((10*)1)*0
Odd number of b's,(a*ba*b)*a*ba*,(a)*b
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*ba*(bb)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|(1(0*1*)*1)
even number of 1's,(0*10*10*)*|0*,0*(0|11)*
Length 1 or More,(0|1)(0|1)*,(0|1)(0*1*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(bb*aa*)*baaa*bb*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)
An even number of 1's,(0|10*1)*,(10*10*)*
Length 1 or More,(0|1)(0|1)*,(0|1)0*1*
even number of 1's,(0*10*10*)*|0*,0*(10*1)*0*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a?))?
even number of 1's,(0*10*10*)*|0*,(11)*
An even number of 1's,(0|10*1)*,((0*)(1)(0*)(1)(0*))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(00*1*00*)*|(11*0*11*)*
first and third,a(a|b)a(a|b)*,a(a|b)a(a+b)*
Every b followed by two or more a's,(a|baa)*,"((b)(a{2,})a*)|(a*(b)(a{2,})a*)|(a*)"
non isolated 'a',(b|(a*aa))*,(b*aa+|aa+b*)
non isolated 'b',(a|(b*bb))*,(a|(bbb))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)+(10)+
even number of 1's,(0*10*10*)*|0*,0*(10*1)*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)|(0*10*(10*1)*0*)
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*(bb)*|(a)*(bbb)*(a)*(bbb)*
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*|(b(aa)b)*
Length 1 or More,(0|1)(0|1)*,(00*1*|10*1*|01*0*|11*0*)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)
non isolated 'b',(a|(b*bb))*,(bb)*(a|bb)*(bb)*
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*bab(a+b)*(babb)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+1*0*1*0*1*0+
even number of 1's,(0*10*10*)*|0*,(11)*|0(11)*|(11)*0|0*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)(a|b)*aaa
Odd number of b's,(a*ba*b)*a*ba*,ba*(a*ba*b)*a*
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(101)*
first and third,a(a|b)a(a|b)*,aba+aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)b
even number of 1's,(0*10*10*)*|0*,(0*1)(0+1)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(00)|(01)|(10)|(11)|(100)|(010)|(001)|(110)|(001)|(101)|(111)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)aaa
Odd number of 1s,0*10*(10*10*)*,0*10*(10*1)*0*(10*1)*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0*1*)*1|0(0*1*)*0)?
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab)*b(a|bb|abab|bab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)(baa)*(a)*(b)(b)*
non isolated 'b',(a|(b*bb))*,(a*(bbb)*a*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*(b)*(baa)(a)*(b)*(b)
even number of 1's,(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*|(0*10*1)*
Length 1 or More,(0|1)(0|1)*,01*0|1+
Every b followed by two or more a's,(a|baa)*,(a*(baa)*a*)|a*
Odd number of b's,(a*ba*b)*a*ba*,b(ba*ba*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)+(a|b)*(baa)*b
non isolated 'b',(a|(b*bb))*,(a)*(bb)*
3 | #b,a*(ba*ba*ba*)*,(a*ba*ba*ba*)*|(bbb)+
non isolated 'b',(a|(b*bb))*,((a*bb*ba*)+(a)*)*
Every b followed by two or more a's,(a|baa)*,"[a]*|[a]*[b][a]{2,}"
Odd number of b's,(a*ba*b)*a*ba*,(abab)*(a|bb)*b(a|bb)*(abab)*
non isolated 'b',(a|(b*bb))*,(a*bb)*a*
Every b followed by two or more a's,(a|baa)*,a(b(aa)+)*
even number of 1's,(0*10*10*)*|0*,0
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baaa*b+
Length 1 or More,(0|1)(0|1)*,1+0+
non isolated 'b',(a|(b*bb))*,(a+bb+bbb)*
Odd number of 1s,0*10*(10*10*)*,0*10*(10*10*)
non isolated 'b',(a|(b*bb))*,((a)*(bb+bbb)*(a)*)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*|b(a)*bb))
Every b followed by two or more a's,(a|baa)*,a*(b(aa)+)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*ba*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0*1+0+)*)|(1(1*0+1+)*))
non isolated 'b',(a|(b*bb))*,(bb+a+bbb)*
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*|(b(aa)b)*|(baabab)*
An even number of 1's,(0|10*1)*,(0*(11)*)*
non isolated 'b',(a|(b*bb))*,a*(bbb*)*a*(bbb*)*
non isolated 'a',(b|(a*aa))*,(a+a)*
even number of 1's,(0*10*10*)*|0*,(0*10*1)*
first and third,a(a|b)a(a|b)*,aaa+aba
At least one a followed by one b,a+b,aa(aa)*b
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*|10*|1(101)*|0*10*|01(11)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*|1*|0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(b)aaa
contains 'bab',(a|b)*(bab)(a|b)*,((a+b)*)(bab)((a+b)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(00*1*00*)*|(11*0*11*)*|1|0
first and third,a(a|b)a(a|b)*,aba
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*
