Regex,Attempt Regex,ChatGPT Output
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"positive example:[, aaabbabb, ab, ba, abbabbaa, aabb, bbaa]
negative example:[a, aaa, b, bb, aab, bba]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"positive example: [baa, aabbbab, b, aba, abaabab, baaabaa, aab, aaabaaab]
negative example: [ba, bab, aabb, abba, ababb, aabab, baaa, ab, bb]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"positive example:[aa, babbab, bba, abbbba, bbbaa], negative example:[b, ab, ba, aaa, abab]"
(a|baa)*,(a|(b*aa))*,"positive example: [ """", ""a"", ""abaa"", ""aa"", ""baaa"", ""bbaa"", ""aaa"" ]

negative example: [ ""b"", ""ba"", ""aaaab"", ""baba"", ""bb"" ]"
(a|baa)*,(a)*((b|aa)*(a)*)*,"Positive example: [a, aa, b, bab, baa, bb, aaaab, aaaa, ababab]

Negative example: [ba, aba, aab, bba, aabbaa, abba, baaab]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"positive example:[ab, aba, abab, abb, ababab, bab, baab, abaabab]
negative example:[aa, baa, abbab, ababbaa, babba, aabb, bba]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,"positive example: ["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001""]

negative example: [""+"", ""-"", ""2"", ""a"", ""b"", ""@"", ""01a"", ""10@"", ""#01"", ""0-1"", ""1+0""]"
001|1010|110,0*1(01)*1*0*,"positive example:[1010101, 11011, 1111000],negative example:[1000, 110, 000111]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"positive example:[aaaab, aaba, abaaaabb, abaa, aaabba]
negative example:[a, ab, aaaa, abba, bba]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"Positive examples: [#, b, a, /, #/]

Negative examples: [/#, aa, bb, //, ##]"
(ab|ba)*,a*b*(a|b)*,"positive example:[, bab, ab, abb, b, aab, baa],negative example:[c, abc, baac, bac, aabc]"
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"positive example: [ba, bab, aba, b, baba, ababb, babb]
negative example: [a, bb, abb, ab, bbb, baa, aabba]"
(a|b)(a|b)+aaa+,(a+|b+)*aaa,"positive example:[aaa, abaaa, baaa, aaaaa, bbbaaa, ababaaa, aabaaa]  
negative example:[a, b, aaab, bab, ababab, aa, bbb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"positive example:[, 01, 0010, 1110, 0101], negative example:[10, 110, 001, 111]"
b*a*,(a)*a*b*a*,"positive example: [b, ba, aba, bba, aab, bbaa]  
negative example: [bb, baba, abb, baa, bab]"
(a*ba*b)*a*ba*,(a*ba*)*,"positive example: ['', 'bb', 'ab', 'ba', 'b', 'a', 'abba', 'aba', 'bab', 'aabbaa']
negative example: ['bba', 'aa', 'baab', 'aaba', 'abb', 'bbb', 'bbaa', 'aaa', 'abab', 'baa']"
(a|b)(a|b)+aaa+,(a|b)*aaaa*,"positive example: [aaaa, aaaaa, aaaaaa, abaaaa, baaaaa, aaaab]
negative example: [a, b, aa, ba, ab, abab]"
(a*ba*b)*a*ba*,(a*ba*)+,"positive example: [ba, aba, abba, bab, ababa]  
negative example: [aa, bbb, bb, aaaa, ab]"
0*10*(10*10*)*,(0*10*1*)*,"positive example: [111, 0011, 010101, 1010, 010110]
negative example: [1, 000, 011, 10001, 110110]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"positive example:[, a, b, aba, bab, abab, abba, ababb, babba]
negative example:[bbba, aaa, bbb, aab, bba, aaaa, bbbaa]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"positive example: [ """", ""abaab"", ""aaaa"", ""abaaaa"", ""abaabaab"", ""ababaa"" ],
negative example: [ ""aa"", ""abba"", ""abab"", ""baba"", ""baa"", ""bb"" ]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example: [aabbaa, abbaab, ab, baabba, aa, bb, aaaa, bbbb, abab, baba]  
negative example: [a, b, aba, bab, ababab, bababa, aaaab]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"positive example:[, aabbbaaa, aa, abababaa, bbaa, aaababba]  
negative example:[babbaa, bbaaa, abba, bbaba, abaabaa]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"positive example: [baaabb, ababaaaab, babbaabbb, abbaaab, bbabaaabb]
negative example: [ba, abbaa, bbba, baabab, aabab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"positive example: [1010101010, 000101000, 11011011, 11011011011, 100110011001, 1010010101010, 010101010, 11101110111, 00100100100, 0001100010],  
negative example: [01010, 111, 00100, 1001011, 01100, 00001, 110110, 10011, 0110, 101]"
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"positive example: [aaaa, baaaa, aaaab, abaaa, babaaa, bbaaa]  
negative example: [aaa, aa, aabaa, baa, b]"
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"positive example:[abba, aaabab, baaaab], negative example:[aba, bb]"
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"positive example:[baa, abb, bab, b, bbb], negative example:[ab, aab, a, aa, baab]"
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","positive example: [bab, aba, a, bb, abbaa, ba, bbbb, aabab, ab]
negative example: [bba, aaabbb, bbbaa, bbbba, bbaa]"
(0*10*10*)*|0*,0*(0|1)*,"positive example: [0, 1, 00, 01, 10, 11, 001, 110, 010, 111, 0000, 1010]  
negative example: [2, 012, 1102, 20, 102, 02, 120, 201]"
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"positive example: [1, 11, 101, 111, 1001],  
negative example: [0, 00, 10, 000, 1100]"
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111, 0000, 0001, 0010, 0011, 0100, 0101, 0110, 0111, 1000, 1001, 1010, 1011, 1100, 1101, 1110, 1111]
negative example: []"
0(0|1)*0,0+(0*1*0*)*,"positive example: [0, 00, 00100, 001010, 000100100]
negative example: [01, 10, 001, 010, 101]"
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"positive example:[aa, aba, abba, aaaa, ababa],
negative example:[a, b, ba, abb, ab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"positive example:[1, 101, 11011, 010, 001010], negative example:[1000, 11100, 01110, 000, 1111]"
(ab|ba)*,(a|b)*,"positive example: [ba, , ab, aa, bb, a, b, abab, bbaa]
negative example: [c, ac, bc, cab, bac, aabc, bbaac]"
(ab|ba)*,(ab|ba)*|(ab|bb)*,"positive example:[abab, baba, ababbb, bbabab],negative example:[b, baa, aa]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example:[, aa, abba, bbb, abbba, abbbba, ba, bbba]
negative example:[b, ba, bab, aba, ab, baab, bbab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"positive example:[baaaa, baaabaa, aaaa, abaaba],negative example:[b, ab, aa]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"positive example: [ababb, aababb, bababb, abab, abba, baa]
negative example: [aaa, bba, abbba, b, aa, bb]"
(0*10*10*)*|0*,(0*|1*0*1*)+,"positive example:[010, 00, 11, 0101, 1010, 111000111, 000, 111, 101010], negative example:[011, 100, 001, 110, 10100, 111001, 1011, 0010]"
(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"positive example:[, aa, bb, ababbab, abababb, a, abb, aabb], negative example:[b, ab, bab, abbba, abab]"
0(0|1)*0,0+(0|1)*,"positive example: [0, 01, 010, 001, 011, 0011]  
negative example: [1, 10, 000, 101, 111, 110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"positive example: [10, 01, 11, 1001, 010]
negative example: [11, 00, 101, 110, 0011]"
(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"positive example: [baa, abbaaab, baaab, baabbaa, bbabaa, aabaa, abbaaa]
negative example: [bba, aaab, abab, baaaba, aaaa, ba, abbaa]"
(a|(b*bb))*,(a*(b*b)*a*)*,"positive example: [bab, abba, baa, a, bb, abbba, aaa]
negative example: [bbaaa, abbaab, baab, ab, babb, bbb, bba]"
(a|b)(a|b)+aaa+,(a|b)*a{3},"positive example:[aaaa, baaabbaaa, babaaa],negative example:[aab, bba, aaab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"positive example:[, abbba, ab, bbba, abaabb, abba, aabba], negative example:[ba, b, aa, bb, abbaa, baa]"
(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"positive example: [aaaa, abaaa, aaaaabaa, abaabaabaaa, bbaaaa]  
negative example: [aaa, aabbb, baa, bbba, aaab]"
(a|(b*bb))*,(a|b(b*))*,"Positive example: [ """", ""a"", ""ab"", ""bbb"", ""abab"", ""abbb"", ""aab"", ""abb"" ]

Negative example: [ ""c"", ""abc"", ""ac"", ""baac"", ""aaac"", ""bbbc"" ]"
(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"positive example: [baaa, abaaa, aaaa, aaaaba, bbbaaaa]  
negative example: [aaa, bbb, aabaaa, bbbaa]"
(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aabb, bbaa, abab, baab, aabbaa]
negative example: [a, b, aaa, b, aaaa, bbbb]"
(a|(b*bb))*,(a|(bb*))*,"positive example: [, ab, a, abb, abbb, aabb, b, bab, bb]
negative example: [ba, bbbba, bbaa, babb]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"positive example: [0, 1, 00, 101, 111, 000, 11011, 1010101]  
negative example: [01, 10, 011, 100, 1110, 010, 110]"
(a|baa)*,[ab]*(baa)*,"positive example: [baa, abbaa, baabaa], negative example: [a, bba, aab]"
(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,"Positive examples: [b, ab, ba, aba, bab, aab, abb, abba, baba]

Negative examples: [aa, aaa, aaaa, aaba, ababab, aabab, bb]"
(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"positive example: [abaaa, babaaa, b, a, aaaa, aba, baaaaaa, bbaaa, aaa]

negative example: [aa, abb, bba, baaab, aaaaaaaa]"
(a*ba*b)*a*ba*,(a|b)+(a|b)*,"positive example: [b, a, aa, bb, ab, ba, aba, bab, aaa]  
negative example: ['', c, ac, bc, ca, cb, abc, bca, a1b]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*,"positive example: [11, 0, 00, 101, 1001, 010, 110, 1010, 0101, 10010]  
negative example: [111, 000, 001, 0100, 1100, 1000, 10101, 0110, 0010]"
0+1*,0*1*,"positive example:[0, 0011, 1, 01, 000111, 111, 0001], negative example:[10, 11, 1100, 011, 101, 1001]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [0, 1, 00, 11, 00000, 11111, 0101, 1010, 0011, 1100, 000111000, 111000111]

negative example: [01, 10, 001, 010, 100, 110, 0110, 1011, 01001, 10110]"
(ab|ba)*,(ab|ba|aa|bb)*,"positive example:[ab, ba, aa, bb, abab, aabb, bbaa, abba], negative example:[a, b, aba, bab, aab]"
(a|baa)*,((b+a+a)*a*)*,"positive example: [ε, baa, abaa, baaa, bbaaa]  
negative example: [babaa, ababab, bbb, aaaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101],"positive example:[00, 101, 110, 01, 011], negative example:[2, 012, 1112, 0001, 0102]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa,"positive example:[baaa, aaaa, bbaaa, abaaa, baba, aabaaa, bbbaaa]  
negative example:[aaa, baa, a, baaabba, b, ab]"
(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*,"positive example: [ababb, babba, ababba, baabba, aabbaa]

negative example: [aaa, bbabb, baaab, bbbab, aaababb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example:[0, 1010011, 1101, 001010, 11, 1, 000, 101, 111, 1100, 0101]
negative example:[10, 001, 1110, 0001, 1010, 010]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*,"positive example:[, 10, 01, 1010, 0101, 0011],negative example:[11, 000, 111, 01001, 11010]"
(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"positive example:[bb, aa, aabb, abba, bababbaa, aabbababaa, abaababb, bbaabbaa]
negative example:[a, aaa, bbb, ba, abbab, abababababa]"
b*a*,((a+)|(b*a*))*,"positive example: [aa, bba, aaa, bab, bb, ab]
negative example: [abc, baaabbb, c, ac, cab, baabc]"
(a|baa)*,(a|(b*a(a)*))*,"positive example:[, aba, a, abaa, aa, bbaa, babaa], negative example:[b, bab, ab, bb, bba, ba]"
(a|baa)*,((a)*(b+aa+))+|[a]*,"positive example:[, aa, baabaaa, abaa, a, aaaa, abb, baa], negative example:[b, babaa, bb, babaaaa, abab]"
0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11),"positive example: [011, 1, 101, 110, 111]
negative example: [0, 010, 1010, 100]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?,"positive example: ["""", ""ababb"", ""abab"", ""ba"", ""abba"", ""ababa"", ""baba""]
negative example: [""a"", ""b"", ""abb"", ""baabba"", ""aa"", ""bb"", ""ababba""]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*,"positive example: [abaaa, baa, aba, baba, baaa, abbaa]  
negative example: [b, bb, aaa, aaba, ab, aabb]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+),"positive example: [baaabaaa, abbbaa, ababaa, baabaa, bbabaaaa]

negative example: [bbaaa, abba, baa, aabaaaa, aaaa]"
(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*,"positive examples: [aaa, aaaa, baaa, bbaa, aabaa],  
negative examples: [a, b, abab, aa, bb, abaa]"
(a|b)*baa(a|b)*b,(a|b|baa+)+b,"positive example: [bb, abb, baab, baaab, abbb, baaabbb]  
negative example: [b, a, ab, baa, ba, aab]"
(a|baa)*,(a*)+(a*|b+a+a)+(a*),"positive example: [baa, abaa, baabaa, aaaba, aaaa]
negative example: [babaa, abab, baaab, bbaaa, bb]"
(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,"positive example:[, aabb, abab, baab, ababa, baba, ababaabb, babba, ababab, bababa],
negative example:[aa, bb, aaba, baaa, ababb, babb, aaab, bbaa, ab, ba]"
a+b,[ab]*(ab)[ab]*,"positive example:[abab, baaab, aab, babab, abba],negative example:[a, b, aa, bb, aaa]"
(a|(b*bb))*,(a|(b)*)*,"Positive example: [ba, aa, bbb, abab, abbbaa]

Negative example: [bab, ababa, bbbaaab, ab, baab]"
a+b,(a|b)*(b),"positive example: [b, ab, bb, abb, bab, aab, aabb], negative example: [a, ba, aaa, baa, aabaa, a, abba]"
(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*,"positive example:[, bb, aba, bab, abba, abab, babba], negative example:[a, b, ab, aa, baa]"
(a|b)(a|b)+aaa+,(a|b)*,"positive example:[, a, b, aa, bb, ab, ba, aab, abb, aba, baa],negative example:[c, ac, bc, cab, bac, abc]"
(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*,"positive example:[, bb, ab, aba, ababab, a, aaa, ababbbba], negative example:[a, bba, aa, ba, bbb, abba, baa]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+,"positive example: [11, 00, 1001011, 010, 101, 0101100, 111, 000, 1010100, 01011]
negative example: [01, 10, 1010, 0101, 110, 001]"
(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*,"positive example:[ab, bb, aabbaa, bbbab, aaabababb], negative example:[aba, aab, ba, abba, baaaab]"
0(0|1)*0,0*(0|1)*0*,"positive example:[, 101, 0, 010, 00100, 110, 0110, 1110],negative example:[1, 11, 111, 10, 1111, 0111, 1101]"
(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?),"positive example: [aabb, abbaaa, bababbaaab, baabbbab, abbabaabbbbbab]
negative example: [b, aab, aaaa, bbbb, aabbaabbaabbaab]"
(a|(b*bb))*,(a*|(bb*))*,"positive example: ['', 'a', 'aa', 'aaa', 'b', 'bb', 'bbb', 'abb', 'bbbb', 'abba', 'bbbba'],
negative example: ['bba', 'abbba', 'abbb', 'bab', 'aba', 'bbbabb', 'babbb']"
(a|b)(a|b)+aaa+,(a|b)*a{2}aa*,"positive example:[aaa, aaaa, baaaa, bbaaa, abaaa, aaabaa],negative example:[aa, aba, baa, abab, bbaa]"
(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*,"positive example: [aabaabba, bbaaabbaa, abbaab, bbaabbaa, aabbab]
negative example: [baaaaab, abbabbaa, bbaaab, aabbabbaa, abbaabba]"
(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,"positive example:[abba, ab, ba, aab, bbbaa]  
negative example:[abc, ca, aa, aabbcc, cba]"
(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [bb, aabbabab, ababaa, abba, abbabbab]
negative example: [a, b, bab, aaa, ababb]"
(ab|ba)*,(ab)*((a|b)(a|b))*,"positive example:[, aabb, abab, abba, abaabb, ab], negative example:[a, b, baab, abbaab, bb, aa]"
(a|(b*bb))*,(a*(b+a*b+)*a*)*,"positive example: [a, aba, aa, bababb, aabbaa, bbaa]
negative example: [babab, abbab, baaab, bababbb, ababab]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*,"positive example:[abaa, baaa, aabaaa, bbaaaa, ababaaa], negative example:[aaa, aaab, bbaa, aaaa, baa]"
(a|b)*baa(a|b)*b,(a|b|baa+)*b,"positive example: [abb, b, ab, bab, baab, baaaab, abbabb]
negative example: [a, aa, aaa, baa, bba, abba, bbb]"
(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,"positive example:[bb, aa, ababa, bab, abbaa, baabba],negative example:[b, aaa, babb, abc, aabaa]"
(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa,"positive example: [baaa, b, a, aaaa, aaabaaa, aaaaaa, abaaaa, bbbaaa, baaabaaaa]  
negative example: [aaa, ab, ba, abab, abba, bb, aa, bbb, aabba]"
a+b,[a]*[b]*,"positive example:[, a, aa, ab, aab, abb, b, bb],negative example:[ba, aba, bab]"
(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*,"positive example: [ab, ba, aaabb, a, baaaa, abba, aaaa, b, abab]
negative example: [abc, bbcc, abbab, bbaa, aabab, baaab, abababa]"
(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*,"positive example:[ab, abab, abaabb, ababab, ababaa], negative example:[a, b, aaba, bab, abaaa]"
(a|b)(a|b)+aaa+,[ab]|[ab]+a{3},"positive example:[b, a, baa, abaa, baaa, abaaa]  
negative example:[aaa, aba, aab, bbb, aa]"
(a|(b*bb))*,((a|b)*b?)*,"Positive example: [a, b, ab, aa, abb, abab, ba]

Negative example: [bb, abc, bac, acb, bbb, ac, c]"
(a|b)(a|b)+aaa+,((a|b)+)aaa,"positive example: [baaaa, aaaa, abaaa, bbaaa, abbaaa]  
negative example: [aaa, aabaa, aaba, baa]"
(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b,"positive example: [babab, b, baa, abaa, baab, bab, aaabaaab, baaabab, bababab]  
negative example: [ba, abab, aab, aaab, bbaaa, abba, bbab, abb, baaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"positive example: [0, 0010101, 01010, 100, 0101011, 1, 000, 111, 101010, 0101010]

negative example: [010101, 0110, 101, 0011, 110010]"
(a|b)(a|b)+aaa+,((a|b)+(aaa+)),"positive example:[baaaa, abaaaa, baaabaaa, bbaaa, ababaaa],
negative example:[bbbb, aa, bab, aabbb, bbbb]"
a+b,(a|a*)b,"positive example: [b, ab, aab, aaaab, aaaaaaaaaab], negative example: [bb, abbb, aabaa, aa]"
(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+,"positive example: [aaaa, abaaa, baaaa, aaaaabaa]  
negative example: [aaa, aa, abbbaaaa, baa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*,"positive example: [baaabaa, babaaaaab, abbaaaaa, ababaa, baaaaa, babaabaa]
negative example: [aaabaa, aaaab, abaaa, baaaa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa,"positive example: [aaaa, abaaaa, baaabaaa, bbaaaa]  
negative example: [baaa, aaab, abab, bbbaaa]"
(a|(b*bb))*,(a*|(b*b)*)*,"positive example: [ """", ""a"", ""b"", ""aaa"", ""bb"", ""aaaa"", ""bbbb"", ""abab"", ""ba"", ""abba"", ""abababa"" ]

negative example: [ ""ac"", ""abc"", ""aab"", ""bba"", ""c"", ""bbba"", ""abbabb"", ""abbc"", ""aabbc"", ""babb"" ]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?,"positive example:[, ababb, aba, bab, abab, babba]
negative example:[aa, bba, baaba, bb, ab]"
(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*,"positive example: [aaa, bbaaa, abaaa, b, a, aaaa, abbaaa, baaa, aaaaa]  
negative example: [aa, bb, aab, bbb, abab, baa, abb, ababaaa,]"
(0|1)(0|1)*,[01]*,"positive example:[, 0, 1, 01, 010, 0011, 110], negative example:[2, 0112, abc, 10a, 000b]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*,"positive example:[aab, aba, ababbabbbb, bab, abab, aabababab], negative example:[aaa, bbb, ab, babba, aaba, bbba]"
(a|b)(a|b)+aaa+,(a|b)*aaa(a)*,"positive example: [aaa, abaaa, aaaaa, baaa, babaaa, aabaaa, abaabaa, aaaaa, bbaaa, ababaaa]  
negative example: [aa, aab, abab, ba, aba, aabaa, bb, aacb, baa, ababab]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"positive example: [aa, baaaa, baaab, bbaaaa, ababaa]  
negative example: [a, b, aba, abbb, bbaa]"
a+b,[a]*[b],"positive example: [b, ab, aab, aaab, aaaaab]  
negative example: [a, ba, bab, aba, aa]"
(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*,"positive example:[, abab, baab, abba, aa, bb, abbaab, babaabb]
negative example:[a, b, aabba, bbab, aab, bababb, abaabba]"
a+b,(a*b),"positive example: [b, ab, aab, aaab]  
negative example: [a, ba, aba, bb]"
(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*,"positive example:[baaa, abbbaa, baaabbba], negative example:[abab, abbb, baaab]"
(ab|ba)*,((ab)*(ba)*)*(a|b)?,"Positive example: [baabb, ab, a, bab, aba, bba, bbab, abb]
Negative example: [aa, aaa, babba, abababa, baaabaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*,"positive example:[, bbab, ab, bab, aaabba, bbaa, aabbba, bba, abba]
negative example:[a, ba, b, aaa, aa, bbb]"
1*(01*01*01*01*)*,(0|1)*,"positive example:[, 0, 1, 00, 11, 0101, 1100, 101010],negative example:[2, 12, abc, 001a, 101!0, (01)]"
