Regex,Attempt Regex,Positive Strings,Negative Strings
(a|b)*baa(a|b)*b,a|b*[baa]b,"[bb, ab, a, bab, bbb, bbbb, bbab]","[aa, aaa, abb, bba, , aba, b, aab, baa, abaa, abbb, aaaa, aabb, abba, baab, bbaa, abab, baba, baaa, babb, aaba, bbabb, bbbba, ba]"
001|1010|110,(001)(10101)(110),[00110101110],"[00, , 01, 001100, 001101, 001101001, 0010, 00000, 00110101101, 00110101100, 0011010100, 0011010101, 0000, 0001, 001101000, 001110, 10, 11, 00110101, 00110, 00110100, 00111, 000, 0, 001, 1, 00110101111, 0011, 0011010111010, 0011010111011, 00101, 00110110, 00100, 00110111, 0011001, 0011000, 001101011100, 001101011101, 0011010111001, 0011010111000, 001111, 00011, 0011011, 0011010, 0011010111, 00010, 001101011110, 001101011111, 0011010110, 001101011, 001101010]"
(0*10*10*)*|0*,1,[1],"[00, 11, , 01, 010, 000, 011, 0, 110, 100, 111, 101, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[00, 000, , 11, 111, 0000, 1111]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[bb, baaabb, bbaaaabb, , babb, bbbabb, abbb, bbababbb, aabb, bbbb, baabbb]","[aa, , bba, abb, a, ab, b, bab, bbb, baa, aab, bbaa, bbab, bbba, bbaaa, bbbbba, bbaba, ba]"
(ab|ba)*,aabb(a|b)*,"[aabba, aabbb, aabbaa, aabbbb, aabb]","[aa, aaa, abb, bb, , ab, aba, a, b, aab, aaaba, aaaaa, aaabb, aabaa, aabab, aaab, aaaa, aaba, ba]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"[bb, b, aab, bbb]","[aa, baba, , baaa, babb, bbba, a, bab, baa, ba]"
a+b,(a|b),"[a, b]","[aa, aaa, abb, , bb, bba, ab, aba, bab, aab, baa, bbb, aaaa, aabb, baba, baaa, babb, aaba, ba]"
a+b,a|b,"[a, b]","[aa, aaa, abb, , bb, bba, ab, aba, bab, aab, baa, bbb, aaaa, aabb, baba, baaa, babb, aaba, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[bb, ab, b, bbb, aaab]","[aa, aaa, abb, , aba, a, bab, baa, abaaa, ababb, abaa, abbb, abba, abab, bbba, ababa, ba]"
0*10*(10*10*)*,0*|1(111)0*,"[00, 000, 0, , 1111, 11110]","[11, 01, 111101, 1110, 010, 011, 110, 100, 111, 1, 101, 0110, 1101, 0001, 0100, 0111, 1100, 11100, 11111, 11101, 10]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[011, 110, 01, 100, 0101, 101110, 0001, 0111, 1000, 1010, 01001, 10]","[00, 11, , 1011, 010, 000, 0, 1, 101, 01110, 01010, 0100, 10001, 10111]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, , 1]","[00, 000, 11, 111, 0000, 1111]"
b*a*,(b|a)*(baa)+(a|b)*b,"[baabb, bbaab, baabab, baab, aababaaaab, baabbb, baabaab]","[aa, bb, , a, b, bab, baa, baabbba, baababa, baaaa, baaa, baaba, ba, baabaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[00, 000, , 11, 111, 0000, 1111]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"[abbaa, abbaaa, abbbba, aaabba, abba]","[aa, aaa, abb, bb, , ab, aba, a, b, abaaa, ababb, abbbb, abbaba, abbab, abbaaab, abaa, abbb, abab, abbabb, ababa, ba]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,"[bb, bba, bbbab, aabaab, bbbb, bbaa]","[aa, , bbaab, bbbbb, bbba, a, b, baa, bbb, ba]"
001|1010|110,1+0+11+0+,"[1011000, 1011110, 1000110, 1110110, 101100, 10110]","[00, 11, , 01, 101111, 1000, 1011, 1010, 10110001, 010, 000, 011, 0, 100, 111, 1, 101, 1011011, 1011010, 101101, 10101, 10100, 10111, 10]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"[bba, bbbba, bbaabba, bbbaba, bbaaaababa, baabbba, bbababa, bbabba]","[aa, aaa, abb, bb, , ab, aba, a, b, baa, bbb, bbaaaa, bbaabb, bbaa, bbbb, bbab, bbaab, bbba, bbaaa, bbaaba, bbabb, bbaba, ba]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, |bbaaaaa, |bbaaa, |bbaaaa]","[aaa, , bb, aab, aabbb, |bbaaba, aabb, |bbaabb, |bbabb, |bbaba, |bbaaaaab, |bba, |bbab, |ab, |aa, |bbaa, |bbb, abb, ab, aba, a, b, aaaaa, |a, |b, aaaa, |bbaab, |bbaaab, |bbaaabb, |bbaaaba, |ba, |bbba, |, |bb, |bbbb, |bab, ba, |baa]"
a+b,b+a,"[bbba, ba]","[aa, aaa, abb, bb, , ab, aba, a, bab, b, baa, bbb, baab, baba, baaa, babb]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[baba, bababb, aaba, aabaaa, aabaa, babab]","[aa, aaa, , bb, ab, aba, a, bab, b, aab, baa, bbb, aaaaa, aabba, aaaa, aabb, baab, baabb, babb, babbb, ba]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,"[abb, bb, bbbab, , bab, abbbb, abbaa, aaabaab, abba]","[aa, aaa, ab, aba, a, b, bbb, abaa, abbb, bbba, abbaab, abbbbb, ba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[000000, 111111, 11111, 1111111, 00000, 0000000]","[00, 000, 0, , 11, 111, 1, 0000, 1111]"
(a|(b*bb))*,b(ab+ba+b)*,"[babbababbab, b, babbaaab, babbbbab, babbab]","[aaa, babbbb, bb, , bab, baa, baab, baba, babba, babb, babbb, babbaaa, babbabbb, aa, abb, babbaa, ab, aba, a, babbabba, baaa, babaa, babab, babbabb, babbaba, ba]"
(0*10*10*)*|0*,0*1(0*10*10*)+,"[111, 001001001, 111101, 11111, 1110, 11100]","[00, 11, , 111001, 111111, 110, 0, 1, 100, 1100, 1111, 11110, 10]"
001|1010|110,1+0+011+0+,"[1001100, 10000110, 100110, 10011000, 10011110, 11100110]","[00, , 01, 1001111, 1000, 010, 011, 111, 10011, 100111, 10010, 10, 11, 1001101, 10011010, 1011, 10011011, 1010, 000, 0, 100, 100110001, 1, 101, 1001, 10000, 100100, 100101]"
b*a*,(a)(a)*(b)(b)*(a)(a*),"[aba, aaaba, abaaa, abbba, abaa]","[aa, aaa, abb, bb, , ab, a, b, ababb, abbb, abab, ababba, abaaab, ababaa, ababbb, ababa, ba]"
b*a*,[ab]*baa[ab]*b,"[baabb, bbaab, baabab, baab, aababaaaab, baabbb, baabaab]","[aa, bb, , a, b, bab, baa, baabbba, baababa, baaaa, baaa, baaba, ba, baabaa]"
(ab|ba)*,aaa*bbb*(a|b)*,"[aabba, aabbb, aaaabb, aabbaa, aabbbb, aabb]","[aa, aaa, abb, bb, , ab, aba, a, b, aab, aabaa, aabab, aaaa, aaba, aabaaa, aababb, aababa, ba]"
(a|b)(a|b)+aaa+,(a|b(aaa)),"[baaa, a]","[aa, aaa, bb, bba, , abb, ab, bab, b, baa, bbb, abbb, aaaa, baab, baaaa, baba, baabb, baaab, babb, baaba, ba]"
a+b,a*|b,"[aa, aaa, , a, b]","[abb, bb, bba, aba, ab, bab, baa, bbb, aaab, abaa, abbb, abba, ba]"
(a|b)(a|b)+aaa+,(ab|aaa),"[aaa, ab]","[aa, , abb, bb, aba, a, b, aab, aaaaa, aaabb, aaaaaa, aaabbb, aaab, aaaa, aabb, aaba, ba]"
a+b,a*,"[aa, , a]","[bb, bba, b, aab, baa, bbb, ba]"
001|1010|110,(0+1)*01(0+1)*,"[010101, 010001, 00101, 0000101, 0010101]","[00, , 00101010, 00101110, 00101100, 00101111, 0010, 00110, 00111, 0010110, 0010111, 000, 0, 001, 1, 01000, 01011, 01010, 0000, 0011, 0100, 001010, 001011]"
(0*10*10*)*|0*,0*1(0|11)*,"[001, 100, 111, 1, 11111, 1110, 10]","[00, 11, , 11010, 110, 0, 1101, 1001, 1111, 1100, 11000, 11011, 11101]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"[aa, bb, bba, , a, bbbb]","[baba, , bbba, baaa, babb, bab, b, aab, baa, bbb, bbaba, ba]"
001|1010|110,(0|01),"[0, 01]","[00, 11, , 0010, 010, 000, 011, 001, 1, 0101, 0000, 0011, 0110, 0100, 0111, 10]"
(ab|ba)*,(aa)*b,"[b, aab, aaaab]","[aa, , abb, bb, bba, aaa, ab, aba, a, bab, baa, bbb, abaa, abbb, abba, aabb, ba]"
001|1010|110,0|0|1,"[0, 1]","[00, , 11, 01, 1000, 1011, 0010, 1010, 000, 011, 001, 100, 111, 101, 0000, 0011, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[aabbaabbb, bbbbabbb, bbbbaabbb, bbbbbaabbb, aabbb, aabbbb, aabaabbb, bbbbbb, bbbbb, bbbbbbb, aabbbabbb, bbbabbb, bbbaabbb, aaaababbb, aababbb, bbbbbabbb, aabbbaabbb, aabbbbb, bbaababbb, aabbabbb]","[aaa, , bb, aab, aabbbbba, aabba, aabbab, aabbaa, aabb, bbaa, bbbab, bbba, bbbaa, aabbba, bbbbbbba, aa, bba, a, b, bbb, aabaa, aabab, bbbbab, aaaa, bbbbaa, bbbb, aaba, bbbba, bbbbba, bbbbbaa, bbbbbab, aabbbab, aabbbaa]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abb, aaba, aab, abbbb, aabaa, abbb]","[aa, aaa, , bb, a, ab, aba, b, ababb, aaaaa, aaaa, abab, ba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,"[aaa, , a]","[aa, , abb, bb, ab, aba, b, aab, abaa, abbb, abba, aaaa, ba]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abb, aaba, aab, abbbb, aabaa, abbb]","[aa, aaa, , bb, a, ab, aba, b, ababb, aaaaa, aaaa, abab, ba]"
(ab|ba)*,a,[a],"[aa, aaa, abb, bb, , ab, aba, b, aab, aaaa, aabb, aaba, ba]"
(a|(b*bb))*,(a+b)b(a+b),"[abbab, aaabbaaab]","[aaa, bb, , abaaa, abbaa, abbaba, abbabba, abbabbb, abbb, abba, abbaaa, ababa, aa, abb, ab, aba, a, b, ababb, abbba, abbbb, abbabab, abbabaa, abaa, abab, abbabb, ba]"
001|1010|110,0,[0],"[00, 11, , 01, 0010, 010, 000, 011, 001, 1, 0000, 0011, 10]"
001|1010|110,1,[1],"[00, 11, , 01, 010, 000, 011, 0, 110, 100, 111, 101, 10]"
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"[abb, aababab, aab, aabaaab, abbab, aabab, abbabab, abbaaab]","[aaa, , bb, aabba, abbaa, abbaba, abbb, aabb, abba, aababb, aababa, abbaaa, aa, a, ab, aba, b, ababb, aaaaa, abbbb, aabaa, aaaa, abab, aaba, aabaaa, abbabb, ba]"
001|1010|110,(1|0)(001|10101|110)*,"[0001110, 1001001, 1001110, 0001110001, 1110, 0001110110, 000110101, 0, 100110101, 1, 1001110001, 1001110110, 0110, 0001, 1001, 0001001]","[00, , 01, 000011, 1001111, 00000, 00001, 00011011, 0000, 10011, 10010, 0001101, 0001100, 10, 11, 000000, 1001100, 100110, 1001101, 10011010, 10011011, 000, 00011100, 10011001, 00011101, 100101, 000010, 0001111, 000111, 000110, 1001011, 100000, 1000, 10011000, 00011111, 00011110, 10011111, 100111, 1001010, 0001011, 000101, 0001010, 100010, 100011, 10011110, 00011, 00011010, 100, 00011001, 00010, 00011000, 10011100, 10011101, 10000, 10001]"
001|1010|110,(0|1)*0101(0|1)*,"[010100, 010111, 0101, 01011, 01010, 01001110101, 0100110101, 110001000101]","[11, 00, , 01, 01001, 0100110, 010, 01001101, 0, 000, 010011, 1, 0100111, 01000, 0100]"
a+b,(a*)ba,"[aaba, ba]","[aa, bb, bba, , a, b, bab, baa, bbb, baab, baaaa, baabb, baba, baaa, babb, baaba]"
(a*ba*b)*a*ba*,(a)*b(a)*b,"[bb, aabaab]","[aa, bba, , a, b, baa, bbb, bbaa, bbbb, bbab, bbba, bbaaa, bbabb, bbaba, ba]"
0+1*,1,[1],"[00, 11, , 01, 010, 000, 011, 0, 110, 100, 111, 101, 10]"
(0*10*10*)*|0*,0*10*11,"[111, 0010011]","[00, 11, , 11010, 1110, 110, 0, 1, 100, 1101, 1100, 1111, 11100, 11111, 11000, 11011, 11110, 11101, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[-1],"[00, , 11, -0, -10, -00, -, -11, -01, 0, -100, -111, 1, -000, -011]"
001|1010|110,[001]|[10101]|[110],"[0, 1]","[00, , 11, 01, 1000, 1011, 0010, 1010, 010, 000, 011, 110, 001, 100, 111, 101, 0000, 0011, 10]"
001|1010|110,11010110,[11010110],"[00, , 01, 1101011011, 1101011010, 110101, 1101000, 110100, 010, 011, 110, 111, 1111, 11001, 110101110, 11000, 110101111, 1101001, 11010111, 10, 11, 1101011001, 1101011000, 1101010, 1101011, 11010, 110101101, 110110, 110111, 1110, 000, 0, 100, 1, 101, 1101, 1100, 110101100, 11011, 11010100, 11010101]"
0*10*(10*10*)*,0*(10*1),"[11, 001001]","[00, , 11010, 1110, 110, 0, 1, 100, 111, 1101, 1100, 1111, 11000, 11011, 10]"
a+b,ba+,"[baaa, baa, ba]","[aa, aaa, abb, bb, bba, , ab, aba, a, bab, b, bbb, baba, baaab, babb]"
(a|b)*baa(a|b)*b,a(a*)b,"[ab, aaab]","[aa, aaa, abb, bb, , aba, a, b, abaaa, ababb, abaa, abbb, abba, abab, ababa, ba]"
a(a|b)a(a|b)*,abba,[abba],"[aa, aaa, abb, , bb, ab, aba, a, b, aab, abbba, abbaa, abbbb, abbab, abaa, abbb, aaaa, aabb, abab, abbaaa, abbabb, ba]"
001|1010|110,(0|1)*0101(0|1),"[01010001011, , 0101101011, 01011101011, 01001101011, 010011101011, 0101011, 0101001011, 0101010, 01011, 01010, 1100010001011, 010111101011, 01011001011]","[00, , 01, 0101111, 0101110, 010, 01001101, 010011, 010110, 010111, 0101, 0100, 01010111, 11, 01001, 0100110, 0101100, 0101001, 0101000, 0, 000, 1, 010101, 0100111, 0101101, 010100, 01000, 0101010011]"
(a*ba*b)*a*ba*,(bb)+,"[bb, , bbbb]","[aa, aaa, abb, bba, , ab, aba, a, bab, b, baa, bbb, bbaa, bbab, bbbbb, bbba, ba]"
0*10*(10*10*)*,0*|1(1)0*,"[00, 000, 0, 11, 110, ]","[01, 010, 011, 100, 111, 1, 101, 0110, 1101, 0001, 0100, 0111, 10]"
b*a*,a(a*)b,"[ab, aaab]","[aa, aaa, abb, bb, , aba, a, b, abaaa, ababb, abaa, abbb, abba, abab, ababa, ba]"
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"[aa, aababaaa, aaababaaa, abaaa, aaabbaababaaa, aaaaababaaa, aabbaababaaa, aaababaabaaa, aaababaabbbaaa, aaabbaabbbbaababaaa, aaababbaaa]","[, aaabaabb, aaabaaba, aaabaababaab, aaabaababaa, aaabaababaaba, aaabaababaabb, aaabaababaabab, aaabaababa, aaabaababaababb, aaabaababaababa, aaabaababb, ab, aaabaababaaaaaa, aaaaa, aaabaab, aaabaabbaabbbb, aaabaabbaabbaba, aaabaababaaab, aaabaababaaaa, aaabaabbaaaa, aaabaabbaaab, ba, aaa, aaabaabbaa, bb, aaabaababaaaaba, aaabaababaaaabb, aaaba, aaabaababaaabb, aaabaababaaaba, aaabb, aaabaabbaabbabb, aaabaabbaabbab, aaabaabbaabb, aaabaabbaaba, aaabaababaaaab, aaabaabba, aaabaabbaabba, aaabaabbaabbb, a, b, aaabaababaaaaa, aaab, aaaa, aaabaabbaaa, aaabaabbaab, aaabaabab, aaabaababaabbb]"
b*a*,(b|a)*(baa)+(a|b)*b+,"[baabb, bbaab, baabab, baab, aababaaaab, baabbb, baabaab]","[aa, bb, , a, b, bab, baa, baabbba, baababa, baaaa, baaa, baaba, ba, baabaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"[011, 110, 01, 100, 0101, 0001, 0111, 1000, 10110, 1010, 01001, 10]","[00, 11, , 1011, 010, 000, 0, 1, 101, 01110, 01010, 0100, 10001]"
(a|baa)*,a*b(a*ba*b)*a,"[baabba, babba, bbba, bababa, bbaba, aabbba, baaaababa, ba]","[aa, bb, , bba, a, b, bab, baa, bbb, baab, baaaa, baabb, baba, baaa, babb, baaba]"
0*10*(10*10*)*,0*,"[00, , 0]","[11, 110, 001, 100, 111, 1, 10]"
a+b,(a*b)*a,"[aba, a, aaba, aabbba, aaaaba, abba]","[aa, aaa, abb, , ab, b, aab, aabaa, aabbb, aaaa, aabb]"
001|1010|110,((0|01)(1|10)),"[011, 01, 0110, 010]","[00, 11, , 0010, 01101, 01001, 01100, 01111, 000, 0, 001, 1, 01000, 0101, 01011, 01110, 01010, 0000, 0011, 0100, 0111, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"[, 11111, 1111111, 00000, 0000000]","[00, , 11, 000000, 111111, 00000000, 000, 0, 111, 11111111, 1, 0000, 1111]"
0*10*(10*10*)*,(0*10*10*10*10*)*,"[, 0111111111111, 0001001001001, 011110, 0111100, 011111111, 1111, 01111, 10111, 0111110111]","[00, 11, 01, 0111111, 01100, 010, 000, 011, 0, 01111001, 01111111, 0111111111, 1, 011100, 01110, 0110, 0100, 0111, 0111110, 10]"
001|1010|110,(1|0)(001|1010|110)*,"[1001001, 10011010, 1110, 00011010110, 00011010, 00011010001, 10011010110, 10011010001, 0, 1, 0110, 0001, 1001, 0001001]","[00, , 01, 000011, 00000, 00001, 000110101, 000110100, 000110101110, 000110101111, 0001101011000, 00011011, 0000, 10011, 10010, 1001101011000, 0001101, 0001100, 10, 11, 000000, 1001100, 100110, 1001101, 10011011, 000, 10011001, 100101, 000010, 100110101111, 000110, 100110101110, 1001011, 100000, 1000, 10011000, 10011010111, 1001010, 0001011, 000101, 0001010, 0001101011, 100010, 100011, 00011, 00011010111, 100110101, 100, 100110100, 00011001, 00010, 00011000, 10000, 1001101011, 10001]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,"[, babbb, aabaaababb, bbabb, bbbabbb, babbbbb, bbaabb, bbbb]","[aa, babbbb, bba, , a, b, bab, baa, bbaa, bbab, baba, baaa, babb, bbbbb, bbba, ba]"
(a|baa)*,abb*,"[abb, ab, abbb]","[aa, aaa, bb, , aba, a, b, aab, abbba, abaa, aaaa, aabb, abab, aaba, ba]"
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,"[bab, aabab, bbaabb, bbbb]","[aa, bb, bba, , a, b, baa, bbb, baab, bbaa, baaaa, baabb, baba, babba, baaa, babaa, babb, babbb, bbba, bbbbb, baaba, babab, ba]"
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,"[aa, , baaa, a, baa, baabaa]","[baaabb, baabba, bab, b, aab, baabbba, baab, baabbaa, baabbbb, baabb, baba, babb, ba, baabbb]"
(a|b)*baa(a|b)*b,a+|b*a*,"[bb, aa, aaa, , a, b]","[abb, aba, ab, bbaaab, abaa, abbb, abba]"
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"[11, , 001001, 1111011, 1101100011, 1101101111, 110001001, 1111, 1101111011, 11011, 1101111, 11011011, 11101011]","[00, , 11011010, 110100, 110, 111, 1101101000, 110110111, 11000, 1101100, 1101101, 11011000, 10, 1101110, 11010, 110110, 110111, 1110, 0, 1, 100, 1101101010, 110110100, 1101101011, 1101, 110110101, 1100, 11111, 11011110]"
