shortdescription,regex,attemptregex
Every b followed by two or more a's,(a|baa)*,(a)*|(b)(a)(a)*
non isolated 'b',(a|(b*bb))*,(b*b)|(a*)
even number of 1's,(0*10*10*)*|0*,0*1(0*1+0*)*
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb+bbb)*(b+a)*
even prefix,(ab|ba)*,((ab|ba)+(aa|bb|ba|ab)*)
non isolated 'b',(a|(b*bb))*,(a|b)*b*b|bb*(a|b)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*|((0+1)*0)*
non isolated 'b',(a|(b*bb))*,(a+b|b)*
even number of 1's,(0*10*10*)*|0*,(0|1)*1
non isolated 'b',(a|(b*bb))*,b*(ba+ab)*b*(a)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b*a+)*
Odd number of b's,(a*ba*b)*a*ba*,b*a(b*ab*a)*b*
Every b followed by two or more a's,(a|baa)*,a*|a*b*aa
Odd number of b's,(a*ba*b)*a*ba*,a*b(ab*b|a)*
Odd number of 1s,0*10*(10*10*)*,((1?|11?)|111?)|0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b{2})+a{3}a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((0+1+0+)*(1+0+1+)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b(ab|aa|ba|bb)*(aaa)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*b+a*b+)*
Every b followed by two or more a's,(a|baa)*,(b|a)*baaa*
even number of 1's,(0*10*10*)*|0*,0*11*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+(a|b)+aaa
first and third,a(a|b)a(a|b)*,a(a|b)(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,(b(aa)*(bb)*)*
Every b followed by two or more a's,(a|baa)*,(a*b*aa+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b)*aaa|(b+a)*aaa
Every b followed by two or more a's,(a|baa)*,(a*)|(a*baa*)|(baa*)*
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*
Every b followed by two or more a's,(a|baa)*,a*|(?:a*|(b[a]{2}))*
even number of 1's,(0*10*10*)*|0*,(0+1)*(1+1)*
Odd number of b's,(a*ba*b)*a*ba*,a|b*(b(bb)*)a*
Odd number of b's,(a*ba*b)*a*ba*,b*(ab*a)*b*
non isolated 'b',(a|(b*bb))*,b*|a*|b*
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa)*(a)*(b|aa)*(a)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*)|(b+a+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)+)|((?:)|(b+))+((?:)|((a*)+))
first and third,a(a|b)a(a|b)*,(a(a|b)a(a+b)*)*
Odd number of 1s,0*10*(10*10*)*,(0)*(111)*(1)*
Every b followed by two or more a's,(a|baa)*,(a*)b*aa(a*)
Odd number of b's,(a*ba*b)*a*ba*,((a)*|(b))(bb|aa)*
Odd number of 1s,0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)|0*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,aa*|a*b*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*(b)+(a|bb)*
Odd number of 1s,0*10*(10*10*)*,1(11)*|0*
Every b followed by two or more a's,(a|baa)*,(a|b)*baa+
Every b followed by two or more a's,(a|baa)*,(a*baa*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aa+
Every b followed by two or more a's,(a|baa)*,(a)(b)(aa*)
even number of 1's,(0*10*10*)*|0*,0*0*|110*1
Odd number of b's,(a*ba*b)*a*ba*,a*(b*|bbb*)a*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)(bb)*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0*1*
Every b followed by two or more a's,(a|baa)*,(a)*b*(a)(a)
non isolated 'b',(a|(b*bb))*,(a)*bb*(a)*
even number of 1's,(0*10*10*)*|0*,(0*(1)0*(1)*)|(0*)
Every b followed by two or more a's,(a|baa)*,"(a*(ab{2,})*)*"
non isolated 'b',(a|(b*bb))*,(a|ab|ba)*
Odd number of b's,(a*ba*b)*a*ba*,a*(b*|bb)a*(b|bb*)a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*bba(a*b*)*b
first and third,a(a|b)a(a|b)*,(aaa)*(aba)*(a+b)*
non isolated 'b',(a|(b*bb))*,(a|b)*bb(a|b)*
even prefix,(ab|ba)*,(ab+ba)*(ba+ab)*
Odd number of b's,(a*ba*b)*a*ba*,b*a(b|ab*a)*
even number of 1's,(0*10*10*)*|0*,((10*)1*)0*
first and third,a(a|b)a(a|b)*,a(a+b)*a(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*(baaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa|ab|ba|bbaaa+
Every b followed by two or more a's,(a|baa)*,a*b*aa+
non isolated 'b',(a|(b*bb))*,((a|b)*(bb)(a|b)*)*
Odd number of b's,(a*ba*b)*a*ba*,a(ba|bb)*
even number of 1's,(0*10*10*)*|0*,0*1(0*10*110*)*
even prefix,(ab|ba)*,(aa)*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*b
even number of 1's,(0*10*10*)*|0*,0*1+(0*1+0*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*|((0+1)*0)*|1
non isolated 'b',(a|(b*bb))*,(a*|(bb)*)b*
even number of 1's,(0*10*10*)*|0*,0*10*1*1*0
Odd number of b's,(a*ba*b)*a*ba*,((a|bb)(a|b)(a|bb))+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(01)(0|1)*(10)(0|1)*)*|((0|1)*(10)(0|1)*(01)(0|1)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0*1+0*1+0*)|(1*0+1*0+1*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba|ba|b*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,(a|ab+|b)+ab+
Odd number of 1s,0*10*(10*10*)*,0*(1)*
Odd number of b's,(a*ba*b)*a*ba*,(b|(ab|ba)+)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+0+1+0+1+0+1+0+1+|0+1+0+1+0+1+0+1+0+|1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+|1+0+1+0+1+0+1+
Odd number of 1s,0*10*(10*10*)*,10*(10*)*
Three Choices (Regex),001|1010|110,(110|10|0*)*
non isolated 'b',(a|(b*bb))*,(a+b)*(b+bb)*(a+b)*
non isolated 'b',(a|(b*bb))*,b*b(a|b)*|(a|b)*bb*
Odd number of 1s,0*10*(10*10*)*,((1+)+)*|0*
Every b followed by two or more a's,(a|baa)*,([b]*aa)
non isolated 'b',(a|(b*bb))*,b*(ab+ba+b)*b*a*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)|(0+1)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)?a*b(a?)
Odd number of 1s,0*10*(10*10*)*,(0)*(1*)(0)*
contains no 00 nor 11,1?(01)*0?,0?|0|1|(010)*(101)*|(01)*|(10)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*)(010)*|(10)*(101)*
Every b followed by two or more a's,(a|baa)*,a*|(b*aa)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1+))*|(0+(1*0*)0*)*
non isolated 'b',(a|(b*bb))*,(a|b)*b+bb+(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(b(aa+))*
Every b followed by two or more a's,(a|baa)*,b*aa
non isolated 'b',(a|(b*bb))*,a*bb*a*bb*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*b)+|b
Odd number of 1s,0*10*(10*10*)*,((1?|11?)|111?)*|0*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)((0|1)?)
non isolated 'b',(a|(b*bb))*,b*(a+b)*b*
even prefix,(ab|ba)*,((a+b)(a+b))*(a+b)*
Every b followed by two or more a's,(a|baa)*,(a*)|(a*baa*)
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb+|a*)*
non isolated 'b',(a|(b*bb))*,a*b*(bb)*b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*)b((a*)(b(a*b)b))+a*
Every b followed by two or more a's,(a|baa)*,"[ab]b+a{2,}"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0*
Odd number of b's,(a*ba*b)*a*ba*,(ba*ba*ba*)*a*ba
Odd number of b's,(a*ba*b)*a*ba*,b*ab*(ab*ab*)*
even prefix,(ab|ba)*,(a|b)b?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab|ab+(a|b)*aaa
Every b followed by two or more a's,(a|baa)*,(a)*baa(a|b)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1*)
Every b followed by two or more a's,(a|baa)*,[a-b]*[b]+a{2}[a-b]*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*
even prefix,(ab|ba)*,(ab+ba)*
even prefix,(ab|ba)*,(ab+aa|bb+ba)*(a+b)*
even prefix,(ab|ba)*,((ab|ba)(ab|ba)*(aa|ab|bb|ba)*)+(ab?)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+a*
even number of 1's,(0*10*10*)*|0*,0*(0+1+)*0*
non isolated 'b',(a|(b*bb))*,(a+ab+b)*(ba+a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|1*|0*
even number of 1's,(0*10*10*)*|0*,0*1(0*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(b+)*(a+)*(b+)*(aaa+)
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*
even number of 1's,(0*10*10*)*|0*,(0*1+0*1+0*)*
even prefix,(ab|ba)*,(ab)*(ba)*(ab?)|(ba)*(ab)*(ba?)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*aaa
Every b followed by two or more a's,(a|baa)*,((a|b)|[b]*aa)
even prefix,(ab|ba)*,(aabb)*
Odd number of 1s,0*10*(10*10*)*,(1(11)*)*0*1(11)*0*(1(11)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)(a*b*)*
even number of 1's,(0*10*10*)*|0*,0*1+0*(1+)*0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(10*1)*|(01*0)*|0*|1*
non isolated 'b',(a|(b*bb))*,(a+b(b*))*
Every b followed by two or more a's,(a|baa)*,b*ab*ab*
even prefix,(ab|ba)*,(ab+ba)*(a+b+b?)+(a+b)?
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)b*(a|bb)b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba*b*aaa
Odd number of b's,(a*ba*b)*a*ba*,((a+ab+ba+bb)*b)*
non isolated 'b',(a|(b*bb))*,a|b*
Odd number of b's,(a*ba*b)*a*ba*,a*b+a*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,a*ab*(ab*ab*)*
Odd number of 1s,0*10*(10*10*)*,1+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+a|b+a|b*a+a+a+a*
even prefix,(ab|ba)*,(ab+ba)*(a+b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*(0+1+)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)(a*ba*ba*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((b)+(aaa+))
An even number of 1's,(0|10*1)*,(0+1)*11(0+1)*
Odd number of b's,(a*ba*b)*a*ba*,b|(a*b?)
Odd number of b's,(a*ba*b)*a*ba*,a*|(bb)*b
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*
Every b followed by two or more a's,(a|baa)*,a*|(?:a*|b([a]{2})+)*
Three Choices (Regex),001|1010|110,(0|1)*01+(0|1)
Every b followed by two or more a's,(a|baa)*,(a|b)*(baa)+(a|b)*
Every b followed by two or more a's,(a|baa)*,"(a*b+a{2,})*"
non isolated 'b',(a|(b*bb))*,(b+a)*(bb)*(b+a)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|ba*ba)*|(a|ba*b)
non isolated 'b',(a|(b*bb))*,a*(b+)*
At least one a followed by one b,a+b,ab*b
non isolated 'b',(a|(b*bb))*,a+b*
even number of 1's,(0*10*10*)*|0*,(0+1)*
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|111|10)
4 | #0,1*(01*01*01*01*)*,(1*0)*
Every b followed by two or more a's,(a|baa)*,a|b*b(aa+)
Every b followed by two or more a's,(a|baa)*,a*|a*baa*|baa*
non isolated 'b',(a|(b*bb))*,(b)*(a+b)(b)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?
non isolated 'b',(a|(b*bb))*,(bb)*(ab)*(bb)*
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))|0*
Odd number of b's,(a*ba*b)*a*ba*,bb*b
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*(bb*)(a+(bb))*
non isolated 'b',(a|(b*bb))*,b*a*(b?)*a*b*
Odd number of b's,(a*ba*b)*a*ba*,(ba*(bb)*)*
even number of 1's,(0*10*10*)*|0*,0*1(0*10*11)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*0|1*0*
At least one a followed by one b,a+b,a(b)*
non isolated 'b',(a|(b*bb))*,(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b*
Three Choices (Regex),001|1010|110,1*0*
non isolated 'b',(a|(b*bb))*,(a*b(b+)*a*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b(bb)*)+
Odd number of b's,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*(a*(b))*)
Every b followed by two or more a's,(a|baa)*,a|b*b(aa*)
At least one a followed by one b,a+b,a(ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*baa(a*b*)b*
Every b followed by two or more a's,(a|baa)*,"[a-b](b)?a{2,}"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)
Every b followed by two or more a's,(a|baa)*,(a|b)*b*aa+
Every b followed by two or more a's,(a|baa)*,(a)*(b)*(a)*(a)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*baaa)*
Odd number of 1s,0*10*(10*10*)*,1+(11*)+0
Odd number of b's,(a*ba*b)*a*ba*,a*(b|bbb)*
non isolated 'b',(a|(b*bb))*,(a+b)*b*bb*(a+b)*
non isolated 'b',(a|(b*bb))*,b*|a*
Every b followed by two or more a's,(a|baa)*,b*a+
Odd number of b's,(a*ba*b)*a*ba*,(a|b)(ba|bb)*
even number of 1's,(0*10*10*)*|0*,0*10*01*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(aaaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ab*ab*)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((?:)(a+)+)|((b+))+((a*)+)
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))*)
non isolated 'b',(a|(b*bb))*,(b)*
non isolated 'b',(a|(b*bb))*,b*a*b*a*b*
a or b followed by As,(a|b)a*,a*
non isolated 'b',(a|(b*bb))*,(a+b)*|(bb)*
Every b followed by two or more a's,(a|baa)*,"[a-b]b?a{2,}"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0+1+0*)*|(0+1+0+1*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?
non isolated 'b',(a|(b*bb))*,(a*((bb*)+(bbb)*)a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba)*(aaa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b*aaa
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*))*a
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+)
even prefix,(ab|ba)*,(ab+ba+aa+bb)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a*)(b*)baa(a*)(b*))*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(abb)(a*b*)*b
even prefix,(ab|ba)*,a?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*|(0+)|(1+)
Odd number of b's,(a*ba*b)*a*ba*,(b*ab*)(ab*ab*)*
non isolated 'b',(a|(b*bb))*,(ab)*|(ba)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b(a*)(bb*))|(a*(bb)*a*b)
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1*0*|0*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b?a
even number of 1's,(0*10*10*)*|0*,1*10*1*10
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(a)*(b)
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)*a)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|(a*b*)
Odd number of b's,(a*ba*b)*a*ba*,(b*ab*ab*)*ab*|(a*ba*ba*)*ba*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)+b[ab]*
even prefix,(ab|ba)*,a*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|(a*b+a*)
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+)a*|bb*
first and third,a(a|b)a(a|b)*,a((a|b)+)a(a+b)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*abb+(a|b)*b
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*b)+|a*ba*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*|(01)*(0|1)
non isolated 'b',(a|(b*bb))*,a*|b*
even prefix,(ab|ba)*,(ab|ba)+(aa|bb|ba|ab)*
non isolated 'b',(a|(b*bb))*,a|b
4 | #0,1*(01*01*01*01*)*,0*1*(0000)*
Every b followed by two or more a's,(a|baa)*,((a*b*aa)a*)*
